pathway_id,class,calc_version,fuel_producer,facility_name,facility_location,feedstock,fuel_type,ci,fpc,certification_date,applicant_description
T1R-1058,Tier 1,2,Consolidated Biofuels Ltd.,Consolidated Biofuels Ltd.,Canada,Used Cooking Oil,Biodiesel,20.38,BDU211L,2016-06-30T00:00:00,Fuel Producer: Consolidated Biofuels Ltd. (3919) Facility Name: Consolidated Biofuels Ltd. (80304): North American low-free fatty acids (Used Cooking Oil) where “cooking” is required; Biodiesel Produced in Canada 
T1R-1093,Tier 1,2,FutureFuel Chemical Company,FutureFuel Chemical Company,Arkansas,Used Cooking Oil,Biodiesel,24.36,BDU207L,2016-06-30T00:00:00,Fuel Producer: FutureFuel Chemical Company (4664) Facility Name: FutureFuel Chemical Company (82612): North American Used Cooking Oil (UCO); Biodiesel Produced in Arkansas
T1R-1364,Tier 1,2,"Universal Biofuels Private, Ltd","Universal Biofuels Private, Ltd",Biodiesel,Tallow,Biodiesel,37.97,BDT207L,2016-12-20T00:00:00,"Fuel Producer: Universal Biofuels Private, Ltd (6213) Facility Name: Universal Biofuels Private, Ltd (82702): Indian sourced high energy rendered tallow; Biodiesel Produced in Andhra Pradesh, India; biomass (rice husks); grid and backup diesel generator electricity"
T1R-1365,Tier 1,2,"Universal Biofuels Private, Ltd","Universal Biofuels Private, Ltd",Biodiesel,UCO,Biodiesel,26.07,BDU212L,2016-12-20T00:00:00,"Fuel Producer: Universal Biofuels Private, Ltd (6213) Facility Name: Universal Biofuels Private, Ltd (82702): Used Cooking Oil sourced world-wide where “cooking” is required; Biodiesel Produced in Andhra Pradesh, India; biomass (rice husks); grid and backup diesel generator electricity"
T2R-1039,Tier 2,2,Biocom Energia,Biocom Energia,Spain,Used Cooking Oil (Spain),Biodiesel,22.17,BDU208L,2016-06-30T00:00:00,Fuel Producer: Biocom Energia (6099) Facility Name: Biocom Energia (81607): Spain sourced low-free fatty acids (Used Cooking Oil) where “cooking” is required; Biodiesel Produced in Spain 
T2R-1040,Tier 2,2,Biocom Energia,Biocom Energia,Spain,Used Cooking Oil (Europe),Biodiesel,21.77,BDU209L,2016-06-30T00:00:00,Fuel Producer: Biocom Energia (6099) Facility Name: Biocom Energia (81607): European sourced low-free fatty acids (Used Cooking Oil) where “cooking” is required; Biodiesel Produced in Spain 
T2R-1041,Tier 2,2,Biocom Energia,Biocom Energia,Spain,Used Cooking Oil (Global),Biodiesel,26.83,BDU210L,2016-06-30T00:00:00,Fuel Producer: Biocom Energia (6099) Facility Name: Biocom Energia (81607): Low-free fatty acids (Used Cooking Oil) sourced from Rest of the World where “cooking” is required;  Biodiesel Produced in Spain 
T2R-1070,Tier 2,2,Ensyn Technologies Inc.,Ensyn Ontario Facility,Canada,Pyrolysis Oil from Forest Residue,Biodiesel,22.42,RDFRP200L,2016-09-30T00:00:00,Fuel Producer: Ensyn Technologies Inc. (6179) Facility Name: Ensyn Ontario Facility (82219). Renewable diesel from forest residues via pyrolysis and co-processing of bio oil. Bio oil transport by rail to CA
T2R-1071,Tier 2,2,Ensyn Technologies Inc.,Ensyn Ontario Facility,Canada,Pyrolysis Oil from Forest Residue,Renewable Diesel,27.33,RDFRP201L,2016-09-30T00:00:00,Fuel Producer: Ensyn Technologies Inc. (6179) Facility Name: Ensyn Ontario Facility (82219). Renewbale diesel from forest residues via pyrolysis and co-processing of bio oil. Bio oil transport by truck to CA
T2R-1117,Tier 2,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Asian Used Cooking Oil,Renewable Diesel,16.89,RDU200L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). Asian Used Cooking Oil to Renewable Diesel Produced in Singapore.
T1N-1306,Tier 1,2,SeQuential,"SeQuential-Pacific Biodiesel, LLC.",Oregon,Used Cooking Oil,Biodiesel,25.67,BDU213,2016-07-01T00:00:00,"Fuel Producer: SeQuential (6129) Facility Name: SeQuential-Pacific Biodiesel, LLC. (83525): Raw Used Cooking Oil and Rendered Used Cooking Oil from close source (within 500 miles) to Biodiesel produced in Oregon"
T1N-1336,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Canola,Biodiesel,54.97,BDCA201,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728): Biodiesel produced from Midwest Canola Oil; Fuel produced in California"
T1N-1339,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Corn Oil from Wet DGS,Biodiesel,29.42,BDC204,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728): Biodiesel produced from Midwest Corn Oil; Fuel produced in California"
T1N-1340,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Soybean,Biodiesel,52.45,BDS201,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728):  Midwest Soybean; Biodiesel produced in California"
T1N-1341,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Tallow,Biodiesel,32.34,BDT205,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728): North American high energy rendered Tallow; Biodiesel Produced in California"
T1N-1343,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Used Cooking Oil,Biodiesel,16.31,BDU206,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728): California high energy rendered Used Cooking Oil (UCO); Biodiesel Produced in California"
T1N-1368,Tier 1,2,FutureFuel Chemical Company,FutureFuel Chemical Company,Arkansas,Tallow,Biodiesel,40.69,BDT210,2016-12-20T00:00:00,"Fuel Producer: FutureFuel Chemical Company (4664) Facility Name: FutureFuel Chemical Company (82612): U.S. sourced high energy rendered Tallow, Biodiesel produced in Arkansas and transported by rail to California"
T1N-1403,Tier 1,2,New Leaf Biofuel,New Leaf Biofuel,"San Diego, California",Used Cooking Oil,Biodiesel,15.86,BDU201,2016-06-30T00:00:00,Fuel Producer: New Leaf Biofuel (7768) Facility Name: New Leaf Biofuel (83541). Off-site Rendered Used Cooking Oil Biodiesel Produced in California
T1N-1406,Tier 1,2,Archer Daniels Midland Co,ADM Agri Industries,Canada,Canola,Biodiesel,51.33,BDCA202,2016-06-30T00:00:00,"Fuel Producer: Archer Daniels Midland Co (4888) Facility Name: ADM Agri Industries (81926): Canola oil (produced in western Canada) biodiesel transported by rail from Lloydminster Alberta, Canada to Los Angeles, CA (the plant is co-located with crushing operation)"
T1N-1457,Tier 1,2,Archer Daniels Midland Co,ADM Velva,North Dakota,Canola,Biodiesel,52.25,BDCA203,2016-06-30T00:00:00,"Fuel Producer: Archer Daniels Midland Co (4888) Facility Name: ADM Velva (82790): Canola oil biodiesel transported by rail from Velva, ND to Minot, ND to Los Angeles, CA (the plant is co-located with crushing operation)"
T1N-1464,Tier 1,2,Archer Daniels Midland Co,ADM Mexico,"Mexico, Missouri",Soybean,Biodiesel,50.85,BDS202,2016-06-30T00:00:00,"Fuel Producer: Archer Daniels Midland Co (4888) Facility Name: ADM Mexico (82791). Soybean oil biodiesel transported by rail from Mexico, Missouri to Richmond, CA"
T1N-1465,Tier 1,2,Archer Daniels Midland Co,ADM Mexico,"Deerfield, Missouri",Soybean,Biodiesel,49.16,BDS203,2016-06-30T00:00:00,"Fuel Producer: Archer Daniels Midland Co (4888) Facility Name: ADM Mexico (82791). Soybean oil biodiesel transported by rail from Deerfield, MO to Richmond, CA (Soybean oil from adjacent crushing facility (81.9%) and 18.1% rail 311mi)"
T1N-1489,Tier 1,2,"Delek Renewables, LLC",Delek Renewables Crossett Biodiesel Pant,Arkansas,Tallow,Biodiesel,32.96,BDT213,2017-03-17T00:00:00,"Fuel Producer: Delek Renewables, LLC (5998) Facility Name: Delek Renewables Crossett Biodiesel Pant (82217): High energy rendered Tallow; Biodiesel produced in Arkansas and transported by rail to California"
T1N-1490,Tier 1,2,"Delek Renewables, LLC",Delek Renewables Crossett Biodiesel Pant,Arkansas,Soybean,Biodiesel,51.11,BDS208,2017-03-17T00:00:00,"Fuel Producer: Delek Renewables, LLC (5998) Facility Name: Delek Renewables Crossett Biodiesel Pant (82217): Biodiesel produced from Soybean Oil in Arkansas; Fuel transported via rail to California"
T1N-1502,Tier 1,2,FutureFuel Chemical Company,FutureFuel Chemical Company,Arkansas,Corn Oil,Biodiesel,38.75,BDC210,2017-05-19T00:00:00,Fuel Producer: FutureFuel Chemical Company (4664) Facility Name: FutureFuel Chemical Company (82612): U.S. sourced corn oil to Biodiesel produced in Arkansas; Fuel transported by rail to California
T1N-1503,Tier 1,2,"Rothsay, A Division of Darling International Canada Inc.",Rothsay Biodiesel,Canada,Used Cooking Oil,Biodiesel,27.45,BDU216,2016-11-07T00:00:00,"Fuel Producer: Rothsay, A Division of Darling International Canada Inc. (6190) Facility Name: Rothsay Biodiesel (83210). High energy rendered Used Cooking Oil (UCO), Biodiesel produced in Canada, shipped by rail and truck to California"
T1N-1512,Tier 1,2,"Rothsay, A Division of Darling International Canada Inc.",Rothsay Biodiesel,Canada,Tallow,Biodiesel,36.15,BDT209,2016-11-07T00:00:00,"Fuel Producer: Rothsay, A Division of Darling International Canada Inc. (6190) Facility Name: Rothsay Biodiesel (83210). High energy rendered Tallow, Biodiesel produced in Canada, shipped by rail and truck to California"
T1N-1534,Tier 1,2,"American Biodiesel, Inc., dba Community Fuels",Community Fuels Port of Stockton,"Stockton, California",Tallow,Biodiesel,28.9,BDT206,2016-06-30T00:00:00,"Fuel Producer: American Biodiesel, Inc., dba Community Fuels (4935) Facility Name: Community Fuels Port of Stockton (82728). Biodiesel produced from tallow (poultry fat) feedstock sourced in California only."
T1N-1551,Tier 1,2,"REG Grays Harbor, LLC","REG Grays Harbor, LLC","Hoquiam, Washinton",Canola,Biodiesel,52.87,BDCA204,2016-08-11T00:00:00,"Fuel Producer: REG Grays Harbor, LLC (6326) Facility Name: REG Grays Harbor, LLC (82954). Canola Oil Biodiesel produced in Washington; BD transported by rail to California"
T1N-1562,Tier 1,2,"REG Grays Harbor, LLC","REG Grays Harbor, LLC","Hoquiam, Washinton",Used Cooking Oil,Biodiesel,18.62,BDU214,2016-08-25T00:00:00,"Fuel Producer: REG Grays Harbor, LLC (6326) Facility Name: REG Grays Harbor, LLC (82954).  Used Cooking Oil (UCO) to Biodiesel produced in Washington, where cooking is not required; BD transported by rail to California"
T1N-1574,Tier 1,2,Western Iowa Energy,Western Iowa Energy,Iowa,Canola Oil,Biodiesel,61.94,BDCA205,2017-02-02T00:00:00,"Western Iowa Energy (4670) Facility Name: Western Iowa Energy (82630): Canola oil Biodiesel produced in Wall Lake, Iowa and transported by rail to California"
T1N-1575,Tier 1,2,Western Iowa Energy,Western Iowa Energy,Iowa,Corn Oil,Biodiesel,29.46,BDC206,2017-02-02T00:00:00,"Western Iowa Energy (4670) Facility Name: Western Iowa Energy (82630): Corn Oil Biodiesel produced in Wall Lake, Iowa and transported by rail to California"
T1N-1576,Tier 1,2,Western Iowa Energy,Western Iowa Energy,Iowa,Soybean Oil,Biodiesel,54.5,BDS206,2017-02-02T00:00:00,"Western Iowa Energy (4670) Facility Name: Western Iowa Energy (82630): Soy Oil Biodiesel produced in Wall Lake, Iowa and transported by rail to California"
T1N-1577,Tier 1,2,Western Iowa Energy,Western Iowa Energy,Iowa,Tallow,Biodiesel,31.19,BDT211,2017-02-02T00:00:00,"Western Iowa Energy (4670) Facility Name: Western Iowa Energy (82630): U.S. sourced rendered Tallow; Biodiesel Produced in Wall Lake, Iowa and transported by rail to California"
T1N-1583,Tier 1,2,Ag Processing Inc,Ag Processing Inc - Sgt. Bluff,Iowa,Soybean,Biodiesel,52.22,BDS207,2017-02-02T00:00:00,"Fuel Producer: Ag Processing Inc (4552) Facility Name: Ag Processing Inc - Sgt. Bluff (81733): Soybean Oil Biodiesel produced in Sergeant Bluff, Iowa; steam from coal-boiler used; Fuel transported by rail to California"
T1N-1598,Tier 1,2,FutureFuel Chemical Company,FutureFuel Chemical Company,Arkansas,Soybean,Biodiesel,59.53,BDS211,2017-05-19T00:00:00,Fuel Producer: FutureFuel Chemical Company (4664) Facility Name: FutureFuel Chemical Company (82612): Biodiesel produced from Midwest Soybean oil in Arkansas; Fuel transported via rail to California
T1N-1602,Tier 1,2,Imperial Western Products,Imperial Western Products,California,Used Cooking Oil,Biodiesel,21.73,BDU219,2017-01-27T00:00:00,"Fuel Producer: Imperial Western Products (9871) Facility Name: Imperial Western Products (81066): Average U.S. sourced rendered UCO to Biodiesel produced from Southern California, distributed to Southern California (Provisional)"
T1N-1604,Tier 1,2,Imperial Western Products,Imperial Western Products,California,Corn Oil,Biodiesel,34.66,BDC205,2017-01-27T00:00:00,"Fuel Producer: Imperial Western Products (9871) Facility Name: Imperial Western Products (81066): U.S. sourced corn oil to Biodiesel produced from Southern California, distributed to Southern California (Provisional)"
T1N-1610,Tier 1,2,BIOX Canada Limited,BIOX Canada Limited,"Ontario, Canada",Used Cooking Oil,Biodiesel,22.38,BDU218,2016-12-20T00:00:00,"Fuel Producer: BIOX Canada Limited (3758) Facility Name: BIOX Canada Limited (80236): High energy rendered Used Cooking Oil (UCO), Biodiesel produced in Hamilton, Ontario and transported by rail to California"
T1N-1620,Tier 1,2,"Clinton Biodiesel, LLC",Clinton Biodiesel LLC,Iowa,Soybean,Biodiesel,54.81,BDS205,2016-12-20T00:00:00,"Fuel Producer: Clinton Biodiesel, LLC (6485) Facility Name: Clinton Biodiesel LLC (82595): Soy oil Biodiesel produced from Midwest, transported by rail to California (Provisional)"
T1N-1666,Tier 1,2,GeoGreen Biofuels,GeoGreen Biofuels,California,Used Cooking Oil,Biodiesel,18.26,BDU222,2017-03-17T00:00:00,Fuel Producer: GeoGreen Biofuels (3885) Facility Name: GeoGreen Biofuels (81199): California sourced Waste Oil (Used Cooking Oil) Biodiesel produced in California (Provisional)
T1N-1707,Tier 1,2,"REG Newton, LLC","REG Newton, LLC",Iowa,Used Cooking Oil,Biodiesel,22.5,BDU223,2017-03-17T00:00:00,"Fuel Producer: REG Newton, LLC (3514) Facility Name: REG Newton, LLC (80162): High energy rendered Used Cooking Oil (UCO), Biodiesel produced in Iowa and transported by rail to California"
T1N-1708,Tier 1,2,"REG Newton, LLC","REG Newton, LLC",Iowa,Corn Oil,Biodiesel,34.1,BDC208,2017-03-17T00:00:00,"Fuel Producer: REG Newton, LLC (3514) Facility Name: REG Newton, LLC (80162): U.S. sourced Corn Oil Biodiesel produced in Iowa and transported by rail to California"
T1N-1711,Tier 1,2,Imperial Western Products,Imperial Western Products,California,Used Cooking Oil,Biodiesel,20.96,BDU220,2017-01-27T00:00:00,"Fuel Producer: Imperial Western Products (9871) Facility Name: Imperial Western Products (81066): CA-sourced rendered UCO to Biodiesel produced from Southern California, distributed to Southern California (Provisional)"
T1N-1733,Tier 1,2,"Global Alternative Fuels, LLC","Global Alternative Fuels, LLC",Texas,Used Cooking Oil (UCO),Biodiesel,22.45,BDU227R,2018-11-28T00:00:00,"Fuel Producer: Global Alternative Fuels, LLC (7765); Facility Name: Global Alternative Fuels, LLC (83533); High energy rendered Used Cooking Oil (UCO), UCO shipped by truck less than 650 miles, Biodiesel produced in Texas, shipped by rail to California"
T1N-1735,Tier 1,2,"Global Alternative Fuels, LLC","Global Alternative Fuels, LLC",Texas,Used Cooking Oil (UCO),Biodiesel,30.15,BDU225R,2018-11-28T00:00:00,"Fuel Producer: Global Alternative Fuels, LLC (7765); Facility Name: Global Alternative Fuels, LLC (83533); High energy rendered Used Cooking Oil (UCO), UCO shipped by truck less than 1,000 miles, Biodiesel produced in Texas, shipped by truck to California"
T1N-1736,Tier 1,2,"Global Alternative Fuels, LLC","Global Alternative Fuels, LLC",Texas,Soybean Oil,Biodiesel,53.43,BDS210R,2018-11-28T00:00:00,"Fuel Producer: Global Alternative Fuels, LLC (7765); Facility Name: Global Alternative Fuels, LLC (83533); Soybean Oil shipped by rail, biodiesel produced from soybean oil in Texas, shipped by rail to California"
T1N-1742,Tier 1,2,,,Missouri,Soybean,Biodiesel,56.2,BDS212,2017-06-30T00:00:00,"Fuel Producer: Lakeview Biodiesel, LLC (L430) Facility Name: Lakeview Biodiesel, LLC (W0607): Biodiesel produced from Soybean oil in Missouri; Fuel transported via rail to California (Provisional)"
T1N-1751,Tier 1,2,BUSTER BIOFUELS LLC,BUSTER BIOFUELS LLC,California,Used Cooking Oil,Biodiesel,21.53,BDU230,2017-06-28T00:00:00,"Fuel Producer: BUSTER BIOFUELS LLC (4166) Facility Name: BUSTER BIOFUELS LLC (83449): High energy rendered Used Cooking Oil (UCO) sourced locally and transported by truck, Biodiesel produced in California(Provisional)"
T1N-1491,Tier 1,2,"Delek Renewables, LLC",Delek Renewables Cleburne Biodiesel Plant,Texas,Tallow,Biodiesel,38.27,BDT217,2017-03-22T00:00:00,"Fuel Producer: Delek Renewables, LLC (5998) Facility Name: Delek Renewables Cleburne Biodiesel Plant (81398): High energy rendered Tallow; Biodiesel produced in Texas and transported by rail to California"
T1N-1492,Tier 1,2,"Delek Renewables, LLC",Delek Renewables Cleburne Biodiesel Plant,Texas,Soybean,Biodiesel,58.55,BDS209,2017-03-22T00:00:00,"Fuel Producer: Delek Renewables, LLC (5998) Facility Name: Delek Renewables Cleburne Biodiesel Plant (81398): Biodiesel produced from Soybean Oil in Texas; Fuel transported via rail to California"
T1N-1493,Tier 1,2,"Delek Renewables, LLC",Delek Renewables Cleburne Biodiesel Plant,Texas,Used Cooking Oil,Biodiesel,28.4,BDU224,2017-03-22T00:00:00,"Fuel Producer: Delek Renewables, LLC (5998) Facility Name: Delek Renewables Cleburne Biodiesel Plant (81398): High energy rendered Used Cooking Oil (UCO), Biodiesel produced in Texas, shipped by rail to California"
T1N-1617,Tier 1,2,"REG Newton, LLC","REG Newton, LLC",Iowa,Tallow,Biodiesel,35.94,BDT212,2017-02-02T00:00:00,"Fuel Producer: REG Newton, LLC (3514) Facility Name: REG Newton, LLC (80162): U.S. sourced rendered Tallow; Biodiesel Produced in Iowa and transported by rail to California"
T2N-1116,Tier 2,2,New Leaf Biofuel,New Leaf Biofuel,"San Diego, California",Used Cooking Oil,Biodiesel,8.63,BDU202,2016-04-01T00:00:00,Fuel Producer: New Leaf Biofuel (7768) Facility Name: New Leaf Biofuel (83541). Self-rendered Used Cooking Oil Biodiesel Produced in California (Provisional)
T2N-1154,Tier 2,2,Biodico Westside,Biodico Plant,California,Used Cooking Oil,Biodiesel,14.97,BDU229,2017-06-01T00:00:00,"Fuel Producer: Biodico Westside (6231) Facility Name: Biodico Plant (83027): California Used Cooking Oil;  Biodiesel produced in Five Points, California (Provisional)"
T2N-1192,Tier 2,2,BUSTER BIOFUELS LLC,BUSTER BIOFUELS LLC,California,Used Cooking Oil,Biodiesel,16.9,BDU231,2017-07-10T00:00:00,"Fuel Producer: BUSTER BIOFUELS LLC (4166) Facility Name: BUSTER BIOFUELS LLC (83449): Raw Used Cooking Oil (UCO) sourced locally and transported by truck, Biodiesel produced in California (Provisional)"
T1N-1755,Tier 1,2,"REG New Boston, LLC","REG New Boston, LLC",Texas,Used Cooking Oil,Biodiesel,20.23,BDU232,2017-08-31T00:00:00,"Fuel Producer: REG New Boston, LLC (6067); Facility Name: REG New Boston, LLC (81490); High energy rendered Used Cooking Oil (UCO), Biodiesel produced in Texas and transported by rail to California"
T2N-1197,Tier 2,2,"REG Geismar, LLC","REG Geismar, LLC",Louisiana,Used Cooking Oil,Renewable Diesel,24.35,RDU203,2017-09-11T00:00:00,"Fuel Producer: REG Geismar, LLC (6268); Facility Name: REG Geismar, LLC (80180); Tier 2 Method 2B Pathway: Renewable Diesel produced from Rendered Used Cooking Oil, Fuel produced in Louisiana.  Renewable Naphtha and LPG as co-products (Provisional)"
T2N-1198,Tier 2,2,"REG Geismar, LLC","REG Geismar, LLC",Louisiana,Used Cooking Oil,Renewable Diesel,18.99,RDU204,2017-09-11T00:00:00,"Fuel Producer: REG Geismar, LLC (6268); Facility Name: REG Geismar, LLC (80180); Tier 2 Method 2B Pathway: Renewable Diesel produced from Non-Rendered Used Cooking Oil, Fuel produced in Louisiana.  Renewable Naphtha and LPG as co-products (Provisional)"
T2N-1199,Tier 2,2,"REG Geismar, LLC","REG Geismar, LLC",Louisiana,Corn Oil,Renewable Diesel,34.32,RDC202,2017-09-11T00:00:00,"Fuel Producer: REG Geismar, LLC (6268); Facility Name: REG Geismar, LLC (80180); Tier 2 Method 2B Pathway: Renewable Diesel produced from Corn Oil, Fuel produced in Louisiana.  Renewable Naphtha and LPG as co-products (Provisional)"
T2N-1200,Tier 2,2,"REG Geismar, LLC","REG Geismar, LLC",Louisiana,Tallow,Renewable Diesel,35.71,RDT206,2017-09-11T00:00:00,"Fuel Producer: REG Geismar, LLC (6268); Facility Name: REG Geismar, LLC (80180); Tier 2 Method 2B Pathway: Renewable Diesel produced from Tallow, Fuel produced in Louisiana.  Renewable Naphtha and LPG as co-products (Provisional)"
T2N-1201,Tier 2,2,"REG Geismar, LLC","REG Geismar, LLC",Louisiana,Soybean Oil,Renewable Diesel,56.57,RDS201,2017-09-11T00:00:00,"Fuel Producer: REG Geismar, LLC (6268); Facility Name: REG Geismar, LLC (80180); Tier 2 Method 2B Pathway: Renewable Diesel produced from Soy Oil, Fuel produced in Louisiana.  Renewable Naphtha and LPG as co-products  (Provisional)"
T1N-1757,Tier 1,2,"REG New Boston, LLC","REG New Boston, LLC",Texas,Tallow,Biodiesel,34.27,BDT218,2017-09-25T00:00:00,"Fuel Producer: REG New Boston, LLC (6067) ; Facility Name: REG New Boston, LLC (81490); U.S. sourced rendered Tallow; Biodiesel Produced in Texas and transported by rail to California"
T2N-1195,Tier 2,2,"REG New Boston, LLC","REG New Boston, LLC",Texas,Used Cooking Oil,Biodiesel,14.75,BDU237,2018-01-08T00:00:00,"Fuel Producer: REG New Boston, LLC (6067) ; Facility Name: REG New Boston, LLC (81490): Biodiesel produced from U.S. sourced Non-Rendered Used Cooking Oil (UCO), Fuel produced in New Boston, Texas and transported by rail to California."
T2N-1166,Tier 2,2,"REG Newton, LLC","REG Newton, LLC",Iowa,Used Cooking Oil,Biodiesel,15.49,BDU235,2018-01-08T00:00:00,"Fuel Producer: REG Newton, LLC (3514)  ; Facility Name: REG Newton, LLC (80162): Biodiesel produced from U.S. sourced Non-Rendered Used Cooking Oil (UCO), Fuel produced in Newton, Iowa and transported by rail to California."
T2N-1233,Tier 2,2,"JC Chemical Co., Ltd.","JC Chemical Co., Ltd.","Korea, South",Used Cooking Oil,Biodiesel,20.15,BDU238,2018-03-01T00:00:00,"Fuel Producer: JC Chemical Co., Ltd. (6094) ; Facility Name: JC Chemical Co., Ltd. (81585); Tier 2 Method 2B Pathway: Rendered Used Cooking Oil (UCO), Biodiesel produced in Ulsan, South Korea and transported by ocean tanker to California"
T2N-1216,Tier 2,2,"General Biodiesel Seattle, LLC","General Biodiesel Seattle, LLC",Washington,Used Cooking Oil,Biodiesel,28.81,BDU239,2018-03-07T00:00:00,"Fuel Producer: General Biodiesel Seattle, LLC (3367); Facility Name: General Biodiesel Seattle, LLC (80086); Tier 2 Method 2B Pathway: Biodiesel produced from US sourced Used Cooking Oil (UCO). Fuel produced in Seattle, Washington and transported by rail to California (Provisional)"
T1N-1382,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Tallow,Renewable Diesel,39.06,RDT202,2016-07-01T00:00:00,Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). Global high Energy Rendered Tallow to Renewable Diesel; Fuel Produced in Singapore 
T2N-1012,Tier 2,2,Imperial Western Products,Imperial Western Products,California,Used Cooking Oil (UCO),Biodiesel,19,BDU240,2018-03-29T00:00:00,"Fuel Producer: Imperial Western Products (9871); Facility Name: Imperial Western Products (81066) (provisional); Tier 2 Method 2B Pathway: Uncooked Used Cooking Oil (UCO), Biodiesel produced in Coachella, California and transported by truck to locations in California (Provisional)"
