26,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
All wheat,Grain inspections,Japan,"1,000 bushels",1996/97,MY Jun-May,119925
All wheat,Grain inspections,Nigeria,"1,000 bushels",1996/97,MY Jun-May,25322
All wheat,Grain inspections,Philippines,"1,000 bushels",1996/97,MY Jun-May,68949
All wheat,Grain inspections,"Korea, Republic","1,000 bushels",1996/97,MY Jun-May,60494
All wheat,Grain inspections,Indonesia,"1,000 bushels",1996/97,MY Jun-May,3176
All wheat,Grain inspections,Taiwan,"1,000 bushels",1996/97,MY Jun-May,31793
All wheat,Grain inspections,Colombia,"1,000 bushels",1996/97,MY Jun-May,15817
All wheat,Grain inspections,Italy,"1,000 bushels",1996/97,MY Jun-May,17837
All wheat,Grain inspections,Thailand,"1,000 bushels",1996/97,MY Jun-May,9333
All wheat,Grain inspections,Venezuela,"1,000 bushels",1996/97,MY Jun-May,20774
All wheat,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,19118
All wheat,Grain inspections,Dominican Republic,"1,000 bushels",1996/97,MY Jun-May,8012
Soft red winter,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,136389
Hard red winter,Grain inspections,Guatemala,"1,000 bushels",1996/97,MY Jun-May,1335
Hard red winter,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,1015
Hard red winter,Grain inspections,Ethiopia,"1,000 bushels",1996/97,MY Jun-May,2066
Hard red winter,Grain inspections,Israel,"1,000 bushels",1996/97,MY Jun-May,22943
All wheat,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,5684
Hard red winter,Grain inspections,Thailand,"1,000 bushels",1996/97,MY Jun-May,1585
Hard red winter,Grain inspections,Honduras,"1,000 bushels",1996/97,MY Jun-May,78
Hard red winter,Grain inspections,Ecuador,"1,000 bushels",1996/97,MY Jun-May,1962
Hard red winter,Grain inspections,Haiti,"1,000 bushels",1996/97,MY Jun-May,40
Hard red winter,Grain inspections,Bolivia,"1,000 bushels",1996/97,MY Jun-May,3590
All wheat,Grain inspections,Yemen,"1,000 bushels",1996/97,MY Jun-May,20464
All wheat,Grain inspections,Guatemala,"1,000 bushels",1996/97,MY Jun-May,5931
All wheat,Grain inspections,Egypt,"1,000 bushels",1996/97,MY Jun-May,103829
Hard red spring,Grain inspections,Thailand,"1,000 bushels",1996/97,MY Jun-May,4439
Hard red spring,Grain inspections,Venezuela,"1,000 bushels",1996/97,MY Jun-May,15271
Hard red spring,Grain inspections,Italy,"1,000 bushels",1996/97,MY Jun-May,7754
Hard red spring,Grain inspections,Mexico,"1,000 bushels",1996/97,MY Jun-May,6291
Hard red spring,Grain inspections,Dominican Republic,"1,000 bushels",1996/97,MY Jun-May,6663
Hard red spring,Grain inspections,Malaysia,"1,000 bushels",1996/97,MY Jun-May,606
Hard red spring,Grain inspections,Nigeria,"1,000 bushels",1996/97,MY Jun-May,1950
Hard red spring,Grain inspections,Jamaica,"1,000 bushels",1996/97,MY Jun-May,3424
Hard red spring,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,2700
Hard red spring,Grain inspections,Honduras,"1,000 bushels",1996/97,MY Jun-May,2747
Hard red spring,Grain inspections,United Kingdom,"1,000 bushels",1996/97,MY Jun-May,2373
Hard red spring,Grain inspections,Guatemala,"1,000 bushels",1996/97,MY Jun-May,3246
Hard red spring,Grain inspections,Spain,"1,000 bushels",1996/97,MY Jun-May,2046
Hard red spring,Grain inspections,Trinidad,"1,000 bushels",1996/97,MY Jun-May,2128
Hard red spring,Grain inspections,Colombia,"1,000 bushels",1996/97,MY Jun-May,7650
All wheat,Grain inspections,Ecuador,"1,000 bushels",1996/97,MY Jun-May,8577
Hard red winter,Grain inspections,Ghana,"1,000 bushels",1996/97,MY Jun-May,81
Hard red spring,Grain inspections,Brazil,"1,000 bushels",1996/97,MY Jun-May,1553
Soft white,Grain inspections,Philippines,"1,000 bushels",1996/97,MY Jun-May,26402
Soft white,Grain inspections,Japan,"1,000 bushels",1996/97,MY Jun-May,36753
Soft white,Grain inspections,"Korea, Republic","1,000 bushels",1996/97,MY Jun-May,25181
Soft white,Grain inspections,Indonesia,"1,000 bushels",1996/97,MY Jun-May,2083
Soft white,Grain inspections,Yemen,"1,000 bushels",1996/97,MY Jun-May,20464
Soft white,Grain inspections,Thailand,"1,000 bushels",1996/97,MY Jun-May,3309
Soft white,Grain inspections,Sri Lanka,"1,000 bushels",1996/97,MY Jun-May,5622
Soft white,Grain inspections,Taiwan,"1,000 bushels",1996/97,MY Jun-May,4693
Soft white,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,393
Soft white,Grain inspections,Malaysia,"1,000 bushels",1996/97,MY Jun-May,404
Soft white,Grain inspections,Singapore,"1,000 bushels",1996/97,MY Jun-May,508
All wheat,Grain inspections,Honduras,"1,000 bushels",1996/97,MY Jun-May,5199
All wheat,Grain inspections,Sri Lanka,"1,000 bushels",1996/97,MY Jun-May,7444
All wheat,Grain inspections,Jamaica,"1,000 bushels",1996/97,MY Jun-May,7284
All wheat,Grain inspections,Malaysia,"1,000 bushels",1996/97,MY Jun-May,1212
All wheat,Grain inspections,Israel,"1,000 bushels",1996/97,MY Jun-May,25873
All wheat,Grain inspections,Ethiopia,"1,000 bushels",1996/97,MY Jun-May,3912
All wheat,Grain inspections,Costa Rica,"1,000 bushels",1996/97,MY Jun-May,4848
All wheat,Grain inspections,Trinidad,"1,000 bushels",1996/97,MY Jun-May,4397
All wheat,Grain inspections,Panama,"1,000 bushels",1996/97,MY Jun-May,4426
All wheat,Grain inspections,Algeria,"1,000 bushels",1996/97,MY Jun-May,12861
All wheat,Grain inspections,Haiti,"1,000 bushels",1996/97,MY Jun-May,40
All wheat,Grain inspections,United Kingdom,"1,000 bushels",1996/97,MY Jun-May,2373
All wheat,Grain inspections,Ghana,"1,000 bushels",1996/97,MY Jun-May,4638
All wheat,Grain inspections,Rep. of South Africa,"1,000 bushels",1996/97,MY Jun-May,14169
All wheat,Grain inspections,Bolivia,"1,000 bushels",1996/97,MY Jun-May,3590
Hard red spring,Grain inspections,Panama,"1,000 bushels",1996/97,MY Jun-May,2881
Hard red spring,Grain inspections,Ghana,"1,000 bushels",1996/97,MY Jun-May,4330
Hard red spring,Grain inspections,Costa Rica,"1,000 bushels",1996/97,MY Jun-May,3330
Hard red winter,Grain inspections,Algeria,"1,000 bushels",1996/97,MY Jun-May,1010
Hard red winter,Grain inspections,Angola,"1,000 bushels",1996/97,MY Jun-May,876
Hard red winter,Grain inspections,Armenia,"1,000 bushels",1996/97,MY Jun-May,2869
Hard red winter,Grain inspections,Benin,"1,000 bushels",1996/97,MY Jun-May,59
Hard red winter,Grain inspections,Bosnia-Herc,"1,000 bushels",1996/97,MY Jun-May,3631
Hard red winter,Grain inspections,"China, People's Republic","1,000 bushels",1996/97,MY Jun-May,10587
Hard red winter,Grain inspections,Egypt,"1,000 bushels",1996/97,MY Jun-May,32352
Hard red winter,Grain inspections,Former Soviet Union,"1,000 bushels",1996/97,MY Jun-May,5646
Hard red winter,Grain inspections,Italy,"1,000 bushels",1996/97,MY Jun-May,15
Hard red winter,Grain inspections,Jordan,"1,000 bushels",1996/97,MY Jun-May,2496
Hard red winter,Grain inspections,Kenya,"1,000 bushels",1996/97,MY Jun-May,1542
Hard red winter,Grain inspections,Lebanon,"1,000 bushels",1996/97,MY Jun-May,4537
Hard red winter,Grain inspections,Malaysia,"1,000 bushels",1996/97,MY Jun-May,202
Hard red winter,Grain inspections,Morocco,"1,000 bushels",1996/97,MY Jun-May,93
Hard red winter,Grain inspections,Mozambique,"1,000 bushels",1996/97,MY Jun-May,1407
Hard red winter,Grain inspections,Norway,"1,000 bushels",1996/97,MY Jun-May,965
Hard red winter,Grain inspections,Poland,"1,000 bushels",1996/97,MY Jun-May,2986
Hard red winter,Grain inspections,Rep. of South Africa,"1,000 bushels",1996/97,MY Jun-May,293
Hard red winter,Grain inspections,Sierra Leone,"1,000 bushels",1996/97,MY Jun-May,912
Hard red winter,Grain inspections,Sri Lanka,"1,000 bushels",1996/97,MY Jun-May,1822
Hard red winter,Grain inspections,Tunisia,"1,000 bushels",1996/97,MY Jun-May,981
Hard red winter,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,274
Hard red winter,Grain inspections,Uganda,"1,000 bushels",1996/97,MY Jun-May,201
Hard red winter,Grain inspections,Zaire,"1,000 bushels",1996/97,MY Jun-May,3922
Hard red spring,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,7094
All wheat,Grain inspections,Spain,"1,000 bushels",1996/97,MY Jun-May,2046
Hard red spring,Grain inspections,Barbados,"1,000 bushels",1996/97,MY Jun-May,495
Soft white,Grain inspections,Bangladesh,"1,000 bushels",1996/97,MY Jun-May,7175
Hard red winter,Grain inspections,Bangladesh,"1,000 bushels",1996/97,MY Jun-May,387
Hard red winter,Grain inspections,Belize,"1,000 bushels",1996/97,MY Jun-May,114
Hard red winter,Grain inspections,Guyana,"1,000 bushels",1996/97,MY Jun-May,154
Hard red winter,Grain inspections,Other,"1,000 bushels",1996/97,MY Jun-May,16879
Soft white,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,551
Soft white,Grain inspections,Egypt,"1,000 bushels",1996/97,MY Jun-May,20026
Soft white,Grain inspections,Ethiopia,"1,000 bushels",1996/97,MY Jun-May,1644
Soft white,Grain inspections,Ghana,"1,000 bushels",1996/97,MY Jun-May,73
Soft white,Grain inspections,Iraq,"1,000 bushels",1996/97,MY Jun-May,514
Hard red spring,Grain inspections,Ecuador,"1,000 bushels",1996/97,MY Jun-May,5674
Hard red spring,Grain inspections,Nicaragua,"1,000 bushels",1996/97,MY Jun-May,2779
Hard red spring,Grain inspections,Cameroon,"1,000 bushels",1996/97,MY Jun-May,2131
Hard red spring,Grain inspections,Tanzania,"1,000 bushels",1996/97,MY Jun-May,793
Hard red spring,Grain inspections,Guyana,"1,000 bushels",1996/97,MY Jun-May,1129
Hard red spring,Grain inspections,Belize,"1,000 bushels",1996/97,MY Jun-May,376
Hard red spring,Grain inspections,Singapore,"1,000 bushels",1996/97,MY Jun-May,718
Hard red spring,Grain inspections,Armenia,"1,000 bushels",1996/97,MY Jun-May,772
Hard red spring,Grain inspections,Bangladesh,"1,000 bushels",1996/97,MY Jun-May,2762
Hard red spring,Grain inspections,Belgium,"1,000 bushels",1996/97,MY Jun-May,4017
Hard red spring,Grain inspections,Canary Islands,"1,000 bushels",1996/97,MY Jun-May,391
Hard red spring,Grain inspections,"China, People's Republic","1,000 bushels",1996/97,MY Jun-May,5575
Hard red spring,Grain inspections,Cyprus,"1,000 bushels",1996/97,MY Jun-May,1138
Hard red spring,Grain inspections,Egypt,"1,000 bushels",1996/97,MY Jun-May,3644
Hard red spring,Grain inspections,Former Soviet Union,"1,000 bushels",1996/97,MY Jun-May,3148
Hard red spring,Grain inspections,Greece,"1,000 bushels",1996/97,MY Jun-May,1398
Hard red spring,Grain inspections,Grenada,"1,000 bushels",1996/97,MY Jun-May,485
Hard red spring,Grain inspections,Guinea,"1,000 bushels",1996/97,MY Jun-May,73
Hard red spring,Grain inspections,Iceland,"1,000 bushels",1996/97,MY Jun-May,171
Hard red spring,Grain inspections,Israel,"1,000 bushels",1996/97,MY Jun-May,227
Hard red spring,Grain inspections,Ivory Coast,"1,000 bushels",1996/97,MY Jun-May,904
Hard red spring,Grain inspections,Jordan,"1,000 bushels",1996/97,MY Jun-May,3304
Hard red spring,Grain inspections,Lebanon,"1,000 bushels",1996/97,MY Jun-May,2274
Hard red spring,Grain inspections,Malta,"1,000 bushels",1996/97,MY Jun-May,1416
Hard red spring,Grain inspections,Morocco,"1,000 bushels",1996/97,MY Jun-May,1010
Hard red spring,Grain inspections,Mozambique,"1,000 bushels",1996/97,MY Jun-May,2036
Hard red spring,Grain inspections,Netherlands,"1,000 bushels",1996/97,MY Jun-May,156
Hard red spring,Grain inspections,Netherlands Antilles,"1,000 bushels",1996/97,MY Jun-May,103
Hard red spring,Grain inspections,New Guinea,"1,000 bushels",1996/97,MY Jun-May,323
Hard red spring,Grain inspections,Norway,"1,000 bushels",1996/97,MY Jun-May,2008
Hard red spring,Grain inspections,Poland,"1,000 bushels",1996/97,MY Jun-May,1213
Hard red spring,Grain inspections,Rep. of South Africa,"1,000 bushels",1996/97,MY Jun-May,12255
Hard red spring,Grain inspections,St. Vincent And The Grenadines,"1,000 bushels",1996/97,MY Jun-May,1368
Hard red spring,Grain inspections,Senegal,"1,000 bushels",1996/97,MY Jun-May,612
Hard red spring,Grain inspections,Slovenia,"1,000 bushels",1996/97,MY Jun-May,1425
Hard red spring,Grain inspections,Suriname,"1,000 bushels",1996/97,MY Jun-May,518
Hard red spring,Grain inspections,Swaziland,"1,000 bushels",1996/97,MY Jun-May,276
Hard red spring,Grain inspections,Togo,"1,000 bushels",1996/97,MY Jun-May,631
Hard red spring,Grain inspections,Tunisia,"1,000 bushels",1996/97,MY Jun-May,1011
Hard red spring,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,7052
Hard red spring,Grain inspections,Uruguay,"1,000 bushels",1996/97,MY Jun-May,965
All wheat,Grain inspections,Iraq,"1,000 bushels",1996/97,MY Jun-May,1099
All wheat,Grain inspections,Cameroon,"1,000 bushels",1996/97,MY Jun-May,2131
All wheat,Grain inspections,Bangladesh,"1,000 bushels",1996/97,MY Jun-May,10324
All wheat,Grain inspections,Nicaragua,"1,000 bushels",1996/97,MY Jun-May,2906
All wheat,Grain inspections,Singapore,"1,000 bushels",1996/97,MY Jun-May,1226
All wheat,Grain inspections,Barbados,"1,000 bushels",1996/97,MY Jun-May,687
All wheat,Grain inspections,Belize,"1,000 bushels",1996/97,MY Jun-May,490
All wheat,Grain inspections,Tanzania,"1,000 bushels",1996/97,MY Jun-May,793
Soft white,Grain inspections,"Korea, North","1,000 bushels",1996/97,MY Jun-May,808
Soft white,Grain inspections,Pakistan,"1,000 bushels",1996/97,MY Jun-May,74430
Soft white,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,1922
Soft white,Grain inspections,Uruguay,"1,000 bushels",1996/97,MY Jun-May,105
Soft white,Grain inspections,Other,"1,000 bushels",1996/97,MY Jun-May,243
Soft white,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,233303
Durum,Grain inspections,Italy,"1,000 bushels",1996/97,MY Jun-May,10068
Durum,Grain inspections,Algeria,"1,000 bushels",1996/97,MY Jun-May,11024
Durum,Grain inspections,Venezuela,"1,000 bushels",1996/97,MY Jun-May,2653
Durum,Grain inspections,Nigeria,"1,000 bushels",1996/97,MY Jun-May,18
Durum,Grain inspections,Netherlands,"1,000 bushels",1996/97,MY Jun-May,908
Durum,Grain inspections,Guatemala,"1,000 bushels",1996/97,MY Jun-May,56
Durum,Grain inspections,Panama,"1,000 bushels",1996/97,MY Jun-May,244
Durum,Grain inspections,Belgium,"1,000 bushels",1996/97,MY Jun-May,1151
Durum,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,46
All wheat,Grain inspections,Angola,"1,000 bushels",1996/97,MY Jun-May,876
All wheat,Grain inspections,Armenia,"1,000 bushels",1996/97,MY Jun-May,5185
All wheat,Grain inspections,Benin,"1,000 bushels",1996/97,MY Jun-May,59
All wheat,Grain inspections,Bosnia-Herc,"1,000 bushels",1996/97,MY Jun-May,3631
All wheat,Grain inspections,Bulgaria,"1,000 bushels",1996/97,MY Jun-May,3064
All wheat,Grain inspections,Canary Islands,"1,000 bushels",1996/97,MY Jun-May,391
All wheat,Grain inspections,"China, People's Republic","1,000 bushels",1996/97,MY Jun-May,39117
All wheat,Grain inspections,Cyprus,"1,000 bushels",1996/97,MY Jun-May,1666
All wheat,Grain inspections,Former Soviet Union,"1,000 bushels",1996/97,MY Jun-May,10613
All wheat,Grain inspections,Germany,"1,000 bushels",1996/97,MY Jun-May,692
All wheat,Grain inspections,Greece,"1,000 bushels",1996/97,MY Jun-May,2794
All wheat,Grain inspections,Grenada,"1,000 bushels",1996/97,MY Jun-May,612
All wheat,Grain inspections,Guinea,"1,000 bushels",1996/97,MY Jun-May,73
All wheat,Grain inspections,Iceland,"1,000 bushels",1996/97,MY Jun-May,171
All wheat,Grain inspections,Jordan,"1,000 bushels",1996/97,MY Jun-May,6155
All wheat,Grain inspections,Kenya,"1,000 bushels",1996/97,MY Jun-May,1542
All wheat,Grain inspections,"Korea, North","1,000 bushels",1996/97,MY Jun-May,808
All wheat,Grain inspections,Lebanon,"1,000 bushels",1996/97,MY Jun-May,8271
All wheat,Grain inspections,Lesotho,"1,000 bushels",1996/97,MY Jun-May,103
All wheat,Grain inspections,Malta,"1,000 bushels",1996/97,MY Jun-May,1416
All wheat,Grain inspections,Morocco,"1,000 bushels",1996/97,MY Jun-May,15566
All wheat,Grain inspections,Mozambique,"1,000 bushels",1996/97,MY Jun-May,3726
All wheat,Grain inspections,Netherlands Antilles,"1,000 bushels",1996/97,MY Jun-May,128
All wheat,Grain inspections,New Guinea,"1,000 bushels",1996/97,MY Jun-May,323
All wheat,Grain inspections,Norway,"1,000 bushels",1996/97,MY Jun-May,2973
All wheat,Grain inspections,Pakistan,"1,000 bushels",1996/97,MY Jun-May,74430
All wheat,Grain inspections,Poland,"1,000 bushels",1996/97,MY Jun-May,4199
All wheat,Grain inspections,St. Vincent And The Grenadines,"1,000 bushels",1996/97,MY Jun-May,1368
All wheat,Grain inspections,Senegal,"1,000 bushels",1996/97,MY Jun-May,774
All wheat,Grain inspections,Sierra Leone,"1,000 bushels",1996/97,MY Jun-May,1216
All wheat,Grain inspections,Slovenia,"1,000 bushels",1996/97,MY Jun-May,1425
All wheat,Grain inspections,Sudan,"1,000 bushels",1996/97,MY Jun-May,1213
All wheat,Grain inspections,Suriname,"1,000 bushels",1996/97,MY Jun-May,518
All wheat,Grain inspections,Swaziland,"1,000 bushels",1996/97,MY Jun-May,405
All wheat,Grain inspections,Togo,"1,000 bushels",1996/97,MY Jun-May,741
All wheat,Grain inspections,Tunisia,"1,000 bushels",1996/97,MY Jun-May,6578
All wheat,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,10652
All wheat,Grain inspections,Uganda,"1,000 bushels",1996/97,MY Jun-May,201
All wheat,Grain inspections,Uruguay,"1,000 bushels",1996/97,MY Jun-May,1070
All wheat,Grain inspections,Zaire,"1,000 bushels",1996/97,MY Jun-May,3922
Durum,Grain inspections,Costa Rica,"1,000 bushels",1996/97,MY Jun-May,500
All wheat,Grain inspections,Guyana,"1,000 bushels",1996/97,MY Jun-May,1562
All wheat,Grain inspections,Netherlands,"1,000 bushels",1996/97,MY Jun-May,1064
All wheat,Grain inspections,Belgium,"1,000 bushels",1996/97,MY Jun-May,5168
All wheat,Grain inspections,Ivory Coast,"1,000 bushels",1996/97,MY Jun-May,904
All wheat,Grain inspections,Other,"1,000 bushels",1996/97,MY Jun-May,19622
Hard red spring,Grain inspections,Other,"1,000 bushels",1996/97,MY Jun-May,2423
Hard red spring,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,292713
Soft red winter,Grain inspections,Mexico,"1,000 bushels",1996/97,MY Jun-May,5126
Soft red winter,Grain inspections,Nigeria,"1,000 bushels",1996/97,MY Jun-May,1837
Soft red winter,Grain inspections,Colombia,"1,000 bushels",1996/97,MY Jun-May,4538
Soft red winter,Grain inspections,Egypt,"1,000 bushels",1996/97,MY Jun-May,47807
Soft red winter,Grain inspections,Brazil,"1,000 bushels",1996/97,MY Jun-May,3151
All wheat,Grain inspections,New Zealand,"1,000 bushels",1997/98,MY Jun-May,202
Soft red winter,Grain inspections,Egypt,"1,000 bushels",1997/98,MY Jun-May,103174
Soft red winter,Grain inspections,Colombia,"1,000 bushels",1997/98,MY Jun-May,3613
Soft red winter,Grain inspections,Nigeria,"1,000 bushels",1997/98,MY Jun-May,2412
Soft red winter,Grain inspections,Mexico,"1,000 bushels",1997/98,MY Jun-May,1150
Hard red spring,Grain inspections,Other,"1,000 bushels",1997/98,MY Jun-May,376
Hard red spring,Grain inspections,Total,"1,000 bushels",1997/98,MY Jun-May,235823
All wheat,Grain inspections,Other,"1,000 bushels",1997/98,MY Jun-May,12264
All wheat,Grain inspections,Ivory Coast,"1,000 bushels",1997/98,MY Jun-May,502
All wheat,Grain inspections,Belgium,"1,000 bushels",1997/98,MY Jun-May,9401
All wheat,Grain inspections,Netherlands,"1,000 bushels",1997/98,MY Jun-May,1016
All wheat,Grain inspections,Guyana,"1,000 bushels",1997/98,MY Jun-May,1680
Durum,Grain inspections,Costa Rica,"1,000 bushels",1997/98,MY Jun-May,725
All wheat,Grain inspections,Angola,"1,000 bushels",1997/98,MY Jun-May,1542
All wheat,Grain inspections,Benin,"1,000 bushels",1997/98,MY Jun-May,611
All wheat,Grain inspections,Bosnia-Herc,"1,000 bushels",1997/98,MY Jun-May,1095
All wheat,Grain inspections,Botswana,"1,000 bushels",1997/98,MY Jun-May,695
All wheat,Grain inspections,Canary Islands,"1,000 bushels",1997/98,MY Jun-May,991
All wheat,Grain inspections,Cape Verde,"1,000 bushels",1997/98,MY Jun-May,184
All wheat,Grain inspections,"China, People's Republic","1,000 bushels",1997/98,MY Jun-May,13960
All wheat,Grain inspections,Congo (Brazzaville),"1,000 bushels",1997/98,MY Jun-May,640
All wheat,Grain inspections,Croatia,"1,000 bushels",1997/98,MY Jun-May,1223
All wheat,Grain inspections,Cyprus,"1,000 bushels",1997/98,MY Jun-May,1465
