Commodity_Desc,Attribute_Desc,Attribute_Desc2,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1883/84","MY Jun-May Weighted-average farm price",0.914
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1884/85","MY Jun-May Weighted-average farm price",0.645
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1885/86","MY Jun-May Weighted-average farm price",0.772
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1886/87","MY Jun-May Weighted-average farm price",0.687
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1887/88","MY Jun-May Weighted-average farm price",0.682
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1888/89","MY Jun-May Weighted-average farm price",0.927
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1889/90","MY Jun-May Weighted-average farm price",0.698
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1890/91","MY Jun-May Weighted-average farm price",0.837
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1891/92","MY Jun-May Weighted-average farm price",0.831
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1892/93","MY Jun-May Weighted-average farm price",0.624
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1893/94","MY Jun-May Weighted-average farm price",0.534
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1894/95","MY Jun-May Weighted-average farm price",0.489
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1895/96","MY Jun-May Weighted-average farm price",0.505
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1896/97","MY Jun-May Weighted-average farm price",0.721
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1897/98","MY Jun-May Weighted-average farm price",0.809
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1898/99","MY Jun-May Weighted-average farm price",0.579
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1899/00","MY Jun-May Weighted-average farm price",0.588
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1900/01","MY Jun-May Weighted-average farm price",0.621
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1901/02","MY Jun-May Weighted-average farm price",0.631
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1902/03","MY Jun-May Weighted-average farm price",0.63
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1903/04","MY Jun-May Weighted-average farm price",0.693
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1904/05","MY Jun-May Weighted-average farm price",0.926
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1905/06","MY Jun-May Weighted-average farm price",0.747
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1906/07","MY Jun-May Weighted-average farm price",0.66
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","Apr",0.896
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","Feb",0.891
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","Jan",0.888
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","Mar",0.895
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","May",0.908
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1907/08","MY Jun-May Weighted-average farm price",0.866
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Apr",1.11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Aug",0.896
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Dec",0.932
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Feb",0.996
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Jan",0.944
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Jul",0.9
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Jun",0.909
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Mar",1.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","May",1.2
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","MY Jun-May Weighted-average farm price",0.967
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Nov",0.922
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Oct",0.91
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1908/09","Sep",0.896
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Apr",1.02
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Aug",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Dec",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Feb",1.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Jan",1.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Jul",1.14
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Jun",1.22
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Mar",1.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","May",0.988
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","MY Jun-May Weighted-average farm price",0.986
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Nov",0.992
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Oct",0.972
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1909/10","Sep",0.949
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Apr",0.842
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Aug",0.974
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Dec",0.884
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Feb",0.876
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Jan",0.892
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Jul",0.971
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Jun",0.964
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Mar",0.846
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","May",0.854
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","MY Jun-May Weighted-average farm price",0.906
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Nov",0.894
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Oct",0.921
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1910/11","Sep",0.948
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Apr",0.961
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Aug",0.838
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Dec",0.877
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Feb",0.906
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Jan",0.892
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Jul",0.835
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Jun",0.853
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Mar",0.916
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","May",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","MY Jun-May Weighted-average farm price",0.865
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Nov",0.894
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Oct",0.9
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1911/12","Sep",0.866
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Apr",0.8
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Aug",0.878
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Dec",0.761
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Feb",0.802
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Jan",0.78
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Jul",0.944
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Jun",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Mar",0.798
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","May",0.818
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","MY Jun-May Weighted-average farm price",0.798
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Nov",0.799
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Oct",0.836
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1912/13","Sep",0.846
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Apr",0.84
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Aug",0.771
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Dec",0.804
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Feb",0.824
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Jan",0.813
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Jul",0.792
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Jun",0.82
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Mar",0.836
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","May",0.842
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","MY Jun-May Weighted-average farm price",0.789
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Nov",0.784
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Oct",0.774
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1913/14","Sep",0.775
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Apr",1.36
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Aug",0.849
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Dec",1.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Feb",1.32
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Jan",1.19
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Jul",0.767
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Jun",0.806
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Mar",1.33
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","May",1.36
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","MY Jun-May Weighted-average farm price",0.971
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Nov",0.979
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Oct",0.954
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1914/15","Sep",0.934
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Apr",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Aug",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Dec",0.974
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Feb",1.08
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Jan",1.08
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Jul",1.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Jun",1.17
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Mar",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","May",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","MY Jun-May Weighted-average farm price",0.956
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Nov",0.925
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Oct",0.92
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1915/16","Sep",0.93
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Apr",2.13
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Aug",1.19
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Dec",1.55
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Feb",1.65
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Jan",1.58
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Jul",1
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Jun",0.965
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Mar",1.72
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","May",2.47
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","MY Jun-May Weighted-average farm price",1.43
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Nov",1.59
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Oct",1.47
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1916/17","Sep",1.34
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Apr",2.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Aug",2.19
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Dec",2.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Feb",2.02
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Jan",2.02
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Jul",2.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Jun",2.34
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Mar",2.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","May",2.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","MY Jun-May Weighted-average farm price",2.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Nov",2
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Oct",2
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1917/18","Sep",2.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Apr",2.23
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Aug",2.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Dec",2.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Feb",2.08
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Jan",2.06
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Jul",2.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Jun",2.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Mar",2.11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","May",2.3
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","MY Jun-May Weighted-average farm price",2.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Nov",2.05
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Oct",2.06
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1918/19","Sep",2.06
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Apr",2.43
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Aug",2.11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Dec",2.23
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Feb",2.31
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Jan",2.34
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Jul",2.2
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Jun",2.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Mar",2.3
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","May",2.55
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","MY Jun-May Weighted-average farm price",2.16
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Nov",2.14
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Oct",2.11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1919/20","Sep",2.08
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Apr",1.22
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Aug",2.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Dec",1.46
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Feb",1.48
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Jan",1.49
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Jul",2.43
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Jun",2.56
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Mar",1.4
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","May",1.19
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","MY Jun-May Weighted-average farm price",1.82
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Nov",1.66
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Oct",2.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1920/21","Sep",2.16
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Apr",1.19
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Aug",1.03
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Dec",0.93
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Feb",1.07
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Jan",0.952
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Jul",1.08
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1921/22","Jun",1.2
