Commodity_Desc,Commodity_Desc2,Attribute_Desc,Attribute_Desc2,Geography_Desc,Unit_Desc,Calendar_Year,Timeperiod_Desc,Amount
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2000","CY Jan-Dec",7374.115
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2000","CY Jan-Dec",944868
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2000","CY Jan-Dec",421270
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2001","CY Jan-Dec",404521
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2001","CY Jan-Dec",914036
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2001","CY Jan-Dec",7274.979
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2001","CY Jan-Dec",73.7609532520236
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2002","CY Jan-Dec",6892.994
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2002","CY Jan-Dec",394700
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2002","CY Jan-Dec",889414
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2002","CY Jan-Dec",73.9625566196769
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2003","CY Jan-Dec",74.2653222190733
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2003","CY Jan-Dec",889188
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2003","CY Jan-Dec",396215
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2003","CY Jan-Dec",7029.371
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2004","CY Jan-Dec",6763.793
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2004","CY Jan-Dec",393925
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2004","CY Jan-Dec",876047
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2004","CY Jan-Dec",74.9436578935453
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2005","CY Jan-Dec",74.4584988969963
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2005","CY Jan-Dec",884101
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2005","CY Jan-Dec",394973
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2005","CY Jan-Dec",6826.308
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2006","CY Jan-Dec",6916.164
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2006","CY Jan-Dec",894527
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2006","CY Jan-Dec",403391
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2006","CY Jan-Dec",75.1590878009645
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2007","CY Jan-Dec",75.5675741213048
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2007","CY Jan-Dec",418836
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2007","CY Jan-Dec",923756
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2007","CY Jan-Dec",7102.877
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2008","CY Jan-Dec",6752.816
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2008","CY Jan-Dec",907979
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2008","CY Jan-Dec",416283
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2008","CY Jan-Dec",76.4120095288547
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2009","CY Jan-Dec",414658
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2009","CY Jan-Dec",896060
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2009","CY Jan-Dec",6460.338
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2009","CY Jan-Dec",77.1261597065673
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2010","CY Jan-Dec",6480.196
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2010","CY Jan-Dec",417396
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2010","CY Jan-Dec",901843
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2010","CY Jan-Dec",77.1375949028822
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2011","CY Jan-Dec",76.6532068144458
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2011","CY Jan-Dec",411745
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2011","CY Jan-Dec",895255
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2011","CY Jan-Dec",6402.193
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2012","CY Jan-Dec",6637.342
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2012","CY Jan-Dec",76.0000057854488
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2012","CY Jan-Dec",420365
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2012","CY Jan-Dec",921853
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2013","CY Jan-Dec",424550
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2013","CY Jan-Dec",919830
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2013","CY Jan-Dec",6367.386
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2013","CY Jan-Dec",76.9254463687131
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2014","CY Jan-Dec",76.8778909556146
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2014","CY Jan-Dec",424949
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2014","CY Jan-Dec",921264
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2014","CY Jan-Dec",6422.538
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2015","CY Jan-Dec",76.6730075141027
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2015","CY Jan-Dec",424910
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2015","CY Jan-Dec",923641
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2015","CY Jan-Dec",6640.947
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2016","CY Jan-Dec",423846
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2016","CY Jan-Dec",914635
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2016","CY Jan-Dec",6559.135
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2016","CY Jan-Dec",77.2340879148513
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2017","CY Jan-Dec",426399
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2017","CY Jan-Dec",917816
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2017","CY Jan-Dec",6447.274
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2017","CY Jan-Dec",77.4300077575462
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2018","CY Jan-Dec",426871
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2018","CY Jan-Dec",918373
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2018","CY Jan-Dec",6458.017
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2018","CY Jan-Dec",77.4687046185664
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2019","CY Jan-Dec",77.1190071542139
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2019","CY Jan-Dec",422277
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2019","CY Jan-Dec",912609
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2019","CY Jan-Dec",6485.291
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2020","CY Jan-Dec",77.3070451216333
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2020","CY Jan-Dec",425797
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2020","CY Jan-Dec",917978
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2020","CY Jan-Dec",6547.304
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2021","CY Jan-Dec",6639.121
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2021","CY Jan-Dec",76.8530075105651
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2021","CY Jan-Dec",421176
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2021","CY Jan-Dec",913380
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2022","CY Jan-Dec",77.2268378176101
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2022","CY Jan-Dec",430284
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2022","CY Jan-Dec",928615
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2022","CY Jan-Dec",6731.971
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2023","CY Jan-Dec",77.3937921775142
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2023","CY Jan-Dec",419998
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2023","CY Jan-Dec",904461
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2023","CY Jan-Dec",6511.412
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2024","CY Jan-Dec",77.3845144700901
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2024","CY Jan-Dec",425179
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2024","CY Jan-Dec",915728
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2024","CY Jan-Dec",6489.889
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","2025","CY Jan-Dec",314519
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","2025","CY Jan-Dec",680968
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2025","CY Jan-Dec",76.978409166559
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","2025","CY Jan-Dec",4861.436
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1989","CY Jan-Dec",26332.2185327518
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1989","CY Jan-Dec",201.08759566668
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1989","CY Jan-Dec",3201.98074673553
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1989","CY Jan-Dec",345963.980746736
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1989","CY Jan-Dec",319430.674618317
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1989","CY Jan-Dec",247387
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1989","CY Jan-Dec",129.121851438563
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1990","CY Jan-Dec",135.567134877894
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1990","CY Jan-Dec",250181
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1990","CY Jan-Dec",339163.213708864
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1990","CY Jan-Dec",357808.939068358
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1990","CY Jan-Dec",3460.93906835788
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1990","CY Jan-Dec",304.993200456534
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1990","CY Jan-Dec",18340.7321590373
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1991","CY Jan-Dec",21630.4394687342
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1991","CY Jan-Dec",556.588303057146
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1991","CY Jan-Dec",3890.86895908187
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1991","CY Jan-Dec",366201.868959082
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1991","CY Jan-Dec",344014.84118729
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1991","CY Jan-Dec",253530
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1991","CY Jan-Dec",135.689993762983
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1992","CY Jan-Dec",138.049329485187
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1992","CY Jan-Dec",256922
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1992","CY Jan-Dec",354679.098299931
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1992","CY Jan-Dec",375660.691741817
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1992","CY Jan-Dec",4831.69174181678
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1992","CY Jan-Dec",787.289976815298
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1992","CY Jan-Dec",20194.3034650706
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1993","CY Jan-Dec",22725.7076168216
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1993","CY Jan-Dec",686.835135503868
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1993","CY Jan-Dec",5974.98289739897
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1993","CY Jan-Dec",393393.982897399
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1993","CY Jan-Dec",369981.440145074
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1993","CY Jan-Dec",260282
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1993","CY Jan-Dec",142.146379751605
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1994","CY Jan-Dec",142.944169514956
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1994","CY Jan-Dec",263455
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1994","CY Jan-Dec",376593.561795626
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1994","CY Jan-Dec",401205.61512307
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1994","CY Jan-Dec",8686.61512306979
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1994","CY Jan-Dec",810.747447880236
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1994","CY Jan-Dec",23801.3058795632
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1995","CY Jan-Dec",23615.2497094305
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1995","CY Jan-Dec",857.457712847928
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1995","CY Jan-Dec",8918.12666494005
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1995","CY Jan-Dec",397607.12666494
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1995","CY Jan-Dec",373134.419242662
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1995","CY Jan-Dec",266588
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1995","CY Jan-Dec",139.966697391729
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1996","CY Jan-Dec",146.383927630094
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1996","CY Jan-Dec",269714
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1996","CY Jan-Dec",394817.946568231
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1996","CY Jan-Dec",406350.500165104
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1996","CY Jan-Dec",8574.50016510431
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1996","CY Jan-Dec",881.453244104622
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1996","CY Jan-Dec",10651.1003527685
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1997","CY Jan-Dec",11038.0486787744
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1997","CY Jan-Dec",1167.11073590918
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1997","CY Jan-Dec",8681.42374390999
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1997","CY Jan-Dec",412824.42374391
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1997","CY Jan-Dec",400619.264329226
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1997","CY Jan-Dec",272958
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1997","CY Jan-Dec",146.769563203579
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1998","CY Jan-Dec",142.997261662008
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1998","CY Jan-Dec",276154
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1998","CY Jan-Dec",394892.6579701
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1998","CY Jan-Dec",408659.298771653
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1998","CY Jan-Dec",9745.29877165255
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1998","CY Jan-Dec",1353.16467937307
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1998","CY Jan-Dec",12413.4761221793
"All Wheat","Flour exports","Qty, Exports","Flour exports","World","1,000 cwt","1999","CY Jan-Dec",17498.5540460894
"All Wheat","Semolina, pasta, bulgur, and couscous exports","Qty, Exports","Semolina, pasta, bulgur, and couscous exports","World","1,000 cwt","1999","CY Jan-Dec",1632.67881393292
"All Wheat","Flour, semolina, pasta, bulgur, and couscous imports","Qty, Imports","Flour, semolina, pasta, bulgar, and couscous imports","World","1,000 cwt","1999","CY Jan-Dec",9295.35800660533
"All Wheat","Wheat flour","Total supply","Wheat flour total supply","United States","1,000 cwt","1999","CY Jan-Dec",421263.358006605
"All Wheat","Wheat flour","Domestic disappearance","Wheat flour domestic disappearance","United States","1,000 cwt","1999","CY Jan-Dec",402132.125146583
"All Wheat","Wheat","U.S. population","U.S. population","United States","1,000 persons","1999","CY Jan-Dec",279328
"All Wheat","Wheat flour","Per capita disappearance","Wheat flour per capita disappearance","United States","pounds","1999","CY Jan-Dec",143.964130035866
