Year,Month,Grain,Grade,Ktonnes,Elevator,Region,Global_region,Destination
2014,August,Wheat,No.2 CW RS,22.5,TERMINALS,Thunder Bay,Western Hemisphere,Colombia
2014,August,Wheat,No.2 CW RS,14,TERMINALS,Thunder Bay,Western Hemisphere,Mexico
2014,August,Wheat,No.2 CW RS,4.1,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,August,Wheat,No.2 CW RS,14,TERMINALS,Thunder Bay,Western Hemisphere,Venezuela
2014,August,Wheat,No.2 CW RS,10.9,TERMINALS,St. Lawrence,Western Europe,Netherlands
2014,August,Wheat,No.2 CW RS,9.4,TERMINALS,St. Lawrence,Western Europe,Portugal
2014,August,Wheat,No.2 CW RS,12,TERMINALS,St. Lawrence,Africa,Malawi
2014,August,Wheat,No.2 CW RS,13,TERMINALS,St. Lawrence,Africa,Mozambique
2014,August,Wheat,No.2 CW RS,16.5,TERMINALS,St. Lawrence,Africa,Tanzania
2014,August,Wheat,No.2 CW RS,70.5,TERMINALS,St. Lawrence,Africa,West Africa
2014,August,Wheat,No.2 CW RS,54.6,TERMINALS,St. Lawrence,Western Hemisphere,Brazil
2014,August,Wheat,No.2 CW RS,25.8,TERMINALS,St. Lawrence,Western Hemisphere,Colombia
2014,August,Wheat,No.2 CW RS,49.4,TERMINALS,St. Lawrence,Western Hemisphere,Cuba
2014,August,Wheat,No.2 CW RS,10,TERMINALS,St. Lawrence,Western Hemisphere,Haiti
2014,August,Wheat,No.2 CW RS,44,TERMINALS,St. Lawrence,Western Hemisphere,Venezuela
2014,August,Wheat,No.3 CE,0,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Wheat,OTHER,66,TERMINALS,Vancouver,Asia,Iran
2014,August,Wheat,OTHER,50,TERMINALS,Vancouver,Asia,Iraq
2014,August,Wheat,OTHER,63,TERMINALS,Vancouver,Asia,Saudi Arabia
2014,August,Wheat,OTHER,63,TERMINALS,Prince Rupert,Asia,Saudi Arabia
2014,August,Wheat,OTHER,11,TERMINALS,Prince Rupert,Western Hemisphere,Colombia
2014,August,Wheat,OTHER,48.7,TERMINALS,St. Lawrence,Western Europe,United Kingdom
2014,August,Amber Durum,No.1 CW AD,22.7,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Amber Durum,No.1 CW AD,5.5,TERMINALS,Prince Rupert,Asia,Indonesia
2014,August,Amber Durum,No.1 CW AD,21,TERMINALS,Thunder Bay,Africa,Algeria
2014,August,Amber Durum,No.1 CW AD,60.2,TERMINALS,Thunder Bay,Africa,Morocco
2014,August,Amber Durum,No.1 CW AD,48.8,TERMINALS,St. Lawrence,Africa,Algeria
2014,August,Amber Durum,No.2 CW AD,57.8,TERMINALS,Vancouver,Africa,Algeria
2014,August,Amber Durum,No.2 CW AD,21.9,TERMINALS,Vancouver,Asia,Japan
2014,August,Amber Durum,No.2 CW AD,9.1,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,August,Amber Durum,No.2 CW AD,5.5,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,August,Amber Durum,No.2 CW AD,20.9,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,August,Amber Durum,No.2 CW AD,12.3,TERMINALS,Churchill,Africa,Nigeria
2014,August,Amber Durum,No.2 CW AD,10.5,TERMINALS,Thunder Bay,Western Europe,Belgium
2014,August,Amber Durum,No.2 CW AD,33.6,TERMINALS,St. Lawrence,Western Europe,Belgium
2014,August,Amber Durum,No.2 CW AD,75.5,TERMINALS,St. Lawrence,Africa,Algeria
2014,August,Amber Durum,No.2 CW AD,1.6,TERMINALS,St. Lawrence,Africa,West Africa
2014,August,Amber Durum,No.2 CW AD,3.2,TERMINALS,St. Lawrence,Western Hemisphere,Cuba
2014,August,Amber Durum,No.2 CW AD,20,TERMINALS,St. Lawrence,Western Hemisphere,Venezuela
2014,August,Amber Durum,No.3 CW AD,52.2,TERMINALS,Vancouver,Western Europe,Italy
2014,August,Amber Durum,No.3 CW AD,22.5,TERMINALS,Vancouver,Western Europe,Spain
2014,August,Amber Durum,No.3 CW AD,10.5,TERMINALS,Thunder Bay,Western Europe,Belgium
2014,August,Amber Durum,No.3 CW AD,31.7,TERMINALS,Thunder Bay,Western Europe,Italy
2014,August,Amber Durum,No.3 CW AD,12.8,TERMINALS,Thunder Bay,Western Europe,Portugal
2014,August,Amber Durum,No.3 CW AD,9.4,TERMINALS,St. Lawrence,Western Europe,Belgium
2014,August,Amber Durum,No.3 CW AD,10.8,TERMINALS,St. Lawrence,Western Europe,Netherlands
2014,August,Amber Durum,No.4 CW AD,13.9,TERMINALS,Thunder Bay,Western Europe,Italy
2014,August,Oat,No.1 CW,0.2,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,August,Oat,No.1 CW,72.4,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Oat,No.2 CW,12.5,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,August,Barley,No.1 CW,9.9,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Barley,OTHER,43.4,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Rye,No.1 CW,2.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Flaxseed,No.1 CW,0,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,August,Flaxseed,No.1 CW,5.2,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Flaxseed,No.1 CW,14.2,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Canola,No.1 CANADA,29.8,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Canola,No.1 CANADA,184.4,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Canola,No.1 CANADA,158.8,TERMINALS,Vancouver,Asia,Japan
2014,August,Canola,No.1 CANADA,57,TERMINALS,Vancouver,Asia,Pakistan
2014,August,Canola,No.1 CANADA,45.6,TERMINALS,Vancouver,Asia,United Arab Emirates
2014,August,Canola,No.1 CANADA,63.8,TERMINALS,Prince Rupert,Asia,China P.R.
2014,August,Canola,No.1 CANADA,21,TERMINALS,Thunder Bay,Western Hemisphere,Mexico
2014,August,Soybeans,No.1 CANADA,2.4,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Soybeans,No.2 CANADA,1.7,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Soybeans,No.3 CANADA,0.1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Soybeans,No.4 CANADA,0.4,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Peas,All grades combined,3.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Peas,All grades combined,83.6,TERMINALS,Vancouver,Asia,Bangladesh
2014,August,Peas,All grades combined,32.6,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Peas,All grades combined,122.6,TERMINALS,Vancouver,Asia,India
2014,August,Peas,All grades combined,0,TERMINALS,Vancouver,Western Hemisphere,United States
2014,August,Peas,All grades combined,6.3,TERMINALS,Thunder Bay,Western Europe,Portugal
2014,August,Peas,All grades combined,3.9,TERMINALS,St. Lawrence,Western Europe,Portugal
2014,August,Peas,All grades combined,3.9,TERMINALS,St. Lawrence,Western Europe,Spain
2014,August,Corn,No.1 CW,0,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Corn,No.2 CE,1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Corn,No.3 CE,9.8,TERMINALS,Bay & Lakes,Western Europe,Ireland
2014,August,Corn,No.3 CE,53.5,TERMINALS,St. Lawrence,Western Europe,Netherlands
2014,August,Corn,OTHER,6.4,TERMINALS,St. Lawrence,Western Europe,Spain
2014,August,Mustard Seed,No.1 CANADA,1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Triticale,No.1 CANADA,0.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Beans,All grades combined,0.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Lentil,No.1 CANADA,3.2,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,August,Lentil,No.1 CANADA,1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Pellets,OTHER,0.6,TERMINALS,Vancouver,Western Hemisphere,United States
2014,August,Pellets,OTHER,0.2,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Wheat,FEED,31.6,TERMINALS,Vancouver,Asia,Japan
2014,September,Wheat,No.1 CW RS,2.3,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,September,Wheat,No.1 CW RS,80.8,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Wheat,No.1 CW RS,5.2,TERMINALS,Vancouver,Western Europe,Italy
2014,September,Wheat,No.1 CW RS,86.8,TERMINALS,Vancouver,Asia,Bangladesh
2014,September,Wheat,No.1 CW RS,79.4,TERMINALS,Vancouver,Asia,Japan
2014,September,Wheat,No.1 CW RS,21.6,TERMINALS,Vancouver,Asia,United Arab Emirates
2014,September,Wheat,No.1 CW RS,64.7,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,September,Wheat,No.1 CW RS,3.3,TERMINALS,Vancouver,Western Hemisphere,Costa Rica
2014,September,Wheat,No.1 CW RS,11.9,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,September,Wheat,No.1 CW RS,7.7,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,September,Wheat,No.1 CW RS,22,TERMINALS,Prince Rupert,Asia,Japan
2014,September,Wheat,No.1 CW RS,13.4,TERMINALS,Prince Rupert,Western Hemisphere,Colombia
2014,September,Wheat,No.1 CW RS,33.4,TERMINALS,Prince Rupert,Western Hemisphere,Ecuador
2014,September,Wheat,No.1 CW RS,55,TERMINALS,Prince Rupert,Western Hemisphere,Mexico
2014,September,Wheat,No.1 CW RS,15.4,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Wheat,No.1 CW RS,9.5,TERMINALS,St. Lawrence,Western Europe,United Kingdom
2014,September,Wheat,No.2 C PS,8.8,TERMINALS,Vancouver,Western Hemisphere,Colombia
2014,September,Wheat,No.2 CE,15.1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Wheat,No.2 CE,22.4,TERMINALS,St. Lawrence,Western Hemisphere,Brazil
2014,September,Wheat,No.2 CE,10,TERMINALS,St. Lawrence,Western Hemisphere,Venezuela
2014,September,Wheat,No.2 CW HWS,13,TERMINALS,St. Lawrence,Africa,Nigeria
2014,September,Wheat,No.2 CW RS,40.1,TERMINALS,Vancouver,Africa,Kenya
2014,September,Wheat,No.2 CW RS,20.4,TERMINALS,Vancouver,Asia,Bangladesh
2014,September,Wheat,No.2 CW RS,75.4,TERMINALS,Vancouver,Asia,Indonesia
2014,September,Wheat,No.2 CW RS,11.9,TERMINALS,Vancouver,Asia,Kuwait
2014,September,Wheat,No.2 CW RS,11,TERMINALS,Vancouver,Asia,Oman
2014,September,Wheat,No.2 CW RS,29.7,TERMINALS,Vancouver,Asia,United Arab Emirates
2014,September,Wheat,No.2 CW RS,27.2,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,September,Wheat,No.2 CW RS,47.2,TERMINALS,Vancouver,Western Hemisphere,Colombia
2014,September,Wheat,No.2 CW RS,15.4,TERMINALS,Vancouver,Western Hemisphere,Costa Rica
2014,September,Wheat,No.2 CW RS,55,TERMINALS,Prince Rupert,Asia,Bangladesh
2014,September,Wheat,No.2 CW RS,5.4,TERMINALS,Churchill,Western Europe,Portugal
2014,September,Wheat,No.2 CW RS,71,TERMINALS,Churchill,Africa,Nigeria
2014,September,Wheat,No.2 CW RS,42.8,TERMINALS,Churchill,Africa,Sudan
2014,September,Wheat,No.2 CW RS,26.3,TERMINALS,Churchill,Western Hemisphere,Brazil
2014,September,Wheat,No.2 CW RS,32.2,TERMINALS,Churchill,Western Hemisphere,Colombia
2014,September,Wheat,No.2 CW RS,9.3,TERMINALS,Thunder Bay,Western Europe,Italy
2014,September,Wheat,No.2 CW RS,19.7,TERMINALS,Thunder Bay,Western Hemisphere,Colombia
2014,September,Wheat,No.2 CW RS,22,TERMINALS,St. Lawrence,Western Europe,France
2014,September,Wheat,No.2 CW RS,25.9,TERMINALS,St. Lawrence,Western Europe,Italy
2014,September,Wheat,No.2 CW RS,16.5,TERMINALS,St. Lawrence,Africa,Cameroon
2014,September,Wheat,No.2 CW RS,12,TERMINALS,St. Lawrence,Africa,Congo
2014,September,Wheat,No.2 CW RS,10,TERMINALS,St. Lawrence,Africa,Ghana
2014,September,Wheat,No.2 CW RS,87.6,TERMINALS,St. Lawrence,Africa,Nigeria
2014,September,Wheat,No.2 CW RS,26.3,TERMINALS,St. Lawrence,Western Hemisphere,Cuba
2014,September,Wheat,No.2 CW RS,28.6,TERMINALS,St. Lawrence,Western Hemisphere,Mexico
2014,September,Wheat,No.2 CW RS,67.5,TERMINALS,St. Lawrence,Western Hemisphere,Venezuela
2014,September,Wheat,No.3 CE,0.3,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Wheat,OTHER,63,TERMINALS,Vancouver,Asia,Saudi Arabia
2014,September,Wheat,OTHER,12.1,TERMINALS,St. Lawrence,Western Europe,United Kingdom
2014,September,Wheat,OTHER,63,TERMINALS,St. Lawrence,Asia,Saudi Arabia
2014,September,Amber Durum,No.1 CW AD,16,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Amber Durum,No.1 CW AD,5.5,TERMINALS,Vancouver,Western Hemisphere,Costa Rica
2014,September,Amber Durum,No.1 CW AD,32.3,TERMINALS,Thunder Bay,Africa,Morocco
2014,September,Amber Durum,No.1 CW AD,5.5,TERMINALS,St. Lawrence,Africa,Morocco
2014,September,Amber Durum,No.2 CW AD,11.2,TERMINALS,Vancouver,Asia,Japan
2014,September,Amber Durum,No.2 CW AD,10.1,TERMINALS,Vancouver,Asia,Kuwait
2014,September,Amber Durum,No.2 CW AD,10.9,TERMINALS,Vancouver,Asia,United Arab Emirates
2014,September,Amber Durum,No.2 CW AD,9.9,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,September,Amber Durum,No.2 CW AD,11.2,TERMINALS,Churchill,Africa,Nigeria
2014,September,Amber Durum,No.2 CW AD,10.5,TERMINALS,Thunder Bay,Western Europe,Belgium
2014,September,Amber Durum,No.2 CW AD,11.6,TERMINALS,Thunder Bay,Western Europe,Germany
2014,September,Amber Durum,No.2 CW AD,9.5,TERMINALS,St. Lawrence,Western Europe,Germany
2014,September,Amber Durum,No.2 CW AD,35,TERMINALS,St. Lawrence,Western Hemisphere,Venezuela
2014,September,Amber Durum,No.3 CW AD,10.3,TERMINALS,Churchill,Western Europe,Portugal
2014,September,Amber Durum,No.3 CW AD,21.2,TERMINALS,Thunder Bay,Western Europe,Belgium
2014,September,Amber Durum,No.3 CW AD,10.5,TERMINALS,Thunder Bay,Western Europe,Germany
2014,September,Amber Durum,No.3 CW AD,5.3,TERMINALS,Thunder Bay,Western Europe,Italy
2014,September,Amber Durum,No.3 CW AD,75.3,TERMINALS,St. Lawrence,Western Europe,Italy
2014,September,Oat,No.1 CW,0.4,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,September,Oat,No.1 CW,82.7,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Oat,No.2 CW,12.5,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Barley,No.1 CW,19.6,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Barley,No.1 CW,9.2,TERMINALS,Vancouver,Asia,China P.R.
2014,September,Barley,No.1 CW,40.6,TERMINALS,Prince Rupert,Asia,Japan
2014,September,Barley,Select CW 2-Row,0.2,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Rye,No.1 CW,7.4,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Flaxseed,No.1 CW,0,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,September,Flaxseed,No.1 CW,4,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Flaxseed,No.1 CW,0.7,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Canola,No.1 CANADA,11.9,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Canola,No.1 CANADA,219.1,TERMINALS,Vancouver,Asia,China P.R.
2014,September,Canola,No.1 CANADA,240.3,TERMINALS,Vancouver,Asia,Japan
2014,September,Canola,No.1 CANADA,125.1,TERMINALS,Prince Rupert,Asia,China P.R.
2014,September,Canola,No.1 CANADA,88,TERMINALS,Prince Rupert,Western Hemisphere,Mexico
2014,September,Canola,No.1 CANADA,37.9,TERMINALS,Churchill,Western Hemisphere,Mexico
2014,September,Canola,No.1 CANADA,46.3,TERMINALS,Thunder Bay,Western Hemisphere,Mexico
2014,September,Screenings,OTHER,5.1,TERMINALS,Churchill,Africa,Morocco
2014,September,Screenings,OTHER,0.6,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,September,Soybeans,No.1 CANADA,3.3,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Soybeans,No.2 CANADA,0.5,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Soybeans,No.3 CANADA,0.4,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Soybeans,No.4 CANADA,0.5,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Soybeans,No.5 CANADA,0.1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Soybeans,OTHER,0.2,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Peas,All grades combined,8.6,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Peas,All grades combined,101.3,TERMINALS,Vancouver,Asia,Bangladesh
2014,September,Peas,All grades combined,42.8,TERMINALS,Vancouver,Asia,China P.R.
2014,September,Peas,All grades combined,384.8,TERMINALS,Vancouver,Asia,India
2014,September,Peas,All grades combined,21.9,TERMINALS,Vancouver,Asia,India
2014,September,Peas,All grades combined,0,TERMINALS,Vancouver,Western Hemisphere,United States
2014,September,Corn,No.1 CW,0,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Corn,No.2 CE,0.7,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Corn,No.3 CE,0.2,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Corn,No.3 CE,27.5,TERMINALS,St. Lawrence,Western Europe,Ireland
2014,September,Corn,No.4 CE,0.3,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Corn,No.5 CE,0.1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,September,Mustard Seed,No.1 CANADA,1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Triticale,No.1 CANADA,0.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Beans,All grades combined,0.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Lentil,No.1 CANADA,1.9,PRIMARY,Prairie Elevators,Western Hemisphere,Mexico
2014,September,Lentil,No.1 CANADA,0.5,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Lentil,No.2 CANADA,9.1,TERMINALS,Vancouver,Asia,Bangladesh
2014,September,Lentil,No.2 CANADA,41.6,TERMINALS,Vancouver,Asia,Turkey
2014,September,Lentil,No.2 CANADA,10.3,TERMINALS,Thunder Bay,Asia,Turkey
2014,September,Lentil,No.3 CANADA,12.1,TERMINALS,Vancouver,Asia,Turkey
2014,September,Chick Peas,No.1 CANADA,0.1,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Faba bean,No.1 CANADA,0,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,September,Pellets,OTHER,0.8,TERMINALS,Vancouver,Western Hemisphere,United States
2014,October,Wheat,No.1 CW RS,56.9,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,October,Wheat,No.1 CW RS,30.2,TERMINALS,Vancouver,Asia,Bangladesh
2014,October,Wheat,No.1 CW RS,21.7,TERMINALS,Vancouver,Asia,Japan
2014,October,Wheat,No.1 CW RS,13.2,TERMINALS,Vancouver,Asia,Japan
2014,October,Wheat,No.1 CW RS,30.5,TERMINALS,Prince Rupert,Asia,Bangladesh
2014,October,Wheat,No.1 CW RS,38.5,TERMINALS,Prince Rupert,Asia,Indonesia
2014,October,Wheat,No.1 CW RS,58.3,TERMINALS,Prince Rupert,Asia,Japan
2014,October,Wheat,No.1 CW RS,11,TERMINALS,Prince Rupert,Asia,Malaysia
2014,October,Wheat,No.1 CW RS,14.3,TERMINALS,St. Lawrence,Africa,West Africa
2014,October,Wheat,No.2 C PS,30,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,October,Wheat,No.2 C PS,9.9,TERMINALS,Vancouver,Western Hemisphere,Colombia
2014,October,Wheat,No.2 C PS,49.3,TERMINALS,Prince Rupert,Asia,Sri Lanka
2014,October,Wheat,No.2 CE,2.6,TERMINALS,Bay & Lakes,Western Hemisphere,Puerto Rico
2014,October,Wheat,No.2 CE,17.2,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,October,Wheat,No.2 CE,10.8,TERMINALS,St. Lawrence,Africa,Nigeria
2014,October,Wheat,No.2 CE,10.6,TERMINALS,St. Lawrence,Western Hemisphere,Brazil
2014,October,Wheat,No.2 CE,5.6,TERMINALS,St. Lawrence,Western Hemisphere,Dominican Republic
2014,October,Wheat,No.2 CW RS,54.5,TERMINALS,Vancouver,Asia,Bangladesh
2014,October,Wheat,No.2 CW RS,35.3,TERMINALS,Vancouver,Asia,Malaysia
2014,October,Wheat,No.2 CW RS,16,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,October,Wheat,No.2 CW RS,58.7,TERMINALS,Vancouver,Western Hemisphere,Colombia
2014,October,Wheat,No.2 CW RS,14.9,TERMINALS,Vancouver,Western Hemisphere,Colombia
2014,October,Wheat,No.2 CW RS,11,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,October,Wheat,No.2 CW RS,11,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,October,Wheat,No.2 CW RS,54.3,TERMINALS,Vancouver,Western Hemisphere,Mexico
2014,October,Wheat,No.2 CW RS,11,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,October,Wheat,No.2 CW RS,37.2,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,October,Wheat,No.2 CW RS,46.2,TERMINALS,Prince Rupert,Asia,Malaysia
2014,October,Wheat,No.2 CW RS,28.9,TERMINALS,Prince Rupert,Asia,South Korea
2014,October,Wheat,No.2 CW RS,21.4,TERMINALS,Prince Rupert,Asia,Sri Lanka
2014,October,Wheat,No.2 CW RS,47.3,TERMINALS,Prince Rupert,Western Hemisphere,Peru
2014,October,Wheat,No.2 CW RS,16,TERMINALS,Churchill,Western Europe,Belgium
2014,October,Wheat,No.2 CW RS,41.9,TERMINALS,Churchill,Africa,Nigeria
2014,October,Wheat,No.2 CW RS,33,TERMINALS,Churchill,Western Hemisphere,Mexico
2014,October,Wheat,No.2 CW RS,16.1,TERMINALS,Thunder Bay,Western Europe,Italy
2014,October,Wheat,No.2 CW RS,17.1,TERMINALS,Thunder Bay,Western Hemisphere,Puerto Rico
2014,October,Wheat,No.2 CW RS,16.2,TERMINALS,St. Lawrence,Africa,Nigeria
2014,October,Wheat,No.2 CW RS,57.1,TERMINALS,St. Lawrence,Africa,West Africa
2014,October,Wheat,No.2 CW RS,31.7,TERMINALS,St. Lawrence,Western Hemisphere,Brazil
2014,October,Wheat,No.2 CW RS,23.1,TERMINALS,St. Lawrence,Western Hemisphere,Dominican Republic
2014,October,Wheat,No.2 CW RS,2.8,TERMINALS,St. Lawrence,Western Hemisphere,Puerto Rico
