,File Name,Report End Date,Report Title
2684,ams_2684,1/23/2026,Daily Direct Steer and Heifer Slaughter Cattle Summary (LSDSC)
2787,ams_2787,1/23/2026,South Carolina Daily Grain Bids
3776,ams_3776,1/23/2026,Maryland Production Cost Report (Bi-Weekly)
2932,ams_2932,1/23/2026,Missouri Daily Grain Bids
3119,el_fv170,1/22/2026,"EL CENTRO, CA TRUCK AIR, AND BOAT Daily Movement Report"
2309,hc_fv040,1/23/2026,Los Angeles Terminal Market Nuts Prices (HC_FV040)
2308,hc_fv030,1/23/2026,Los Angeles Terminal Market Onions and Potatoes Prices (HC_FV030)
2307,hc_fv020,1/23/2026,Los Angeles Terminal Market Vegetables Prices (HC_FV020)
3804,ams_3804,1/23/2026,Daily Spot Cotton Quotations
3225,ams_3225,1/23/2026,Nebraska Daily Elevator Grain Bids
2392,if_fv110,1/23/2026,Idaho Falls Shipping Point Fruit Prices (IF_FV110)
2711,ams_2711,1/23/2026,Texas Daily Grain Bids
3223,ams_3223,1/23/2026,Kansas City Board of Trade Daily Wheat Bids
2960,ams_2960,1/23/2026,Arkansas Daily Grain Bids
3148,ams_3148,1/23/2026,Portland Daily Grain Bids
1781,ams_1781,1/21/2026,"Clovis Livestock Auction - Clovis, NM"
3239,ams_3239,1/23/2026,Wyoming Daily Grain Bids
3147,ams_3147,1/23/2026,Louisiana and Texas Export Bids
3463,ams_3463,1/23/2026,Indiana Grain Bids
2892,ams_2892,1/23/2026,Kentucky Daily Grain Bids
2851,ams_2851,1/23/2026,Ohio Daily Grain Bids
2707,ams_2707,1/23/2026,Texas Direct Hay Report
2148,ams_2148,1/24/2026,Virginia Weekly Feeder Cattle Board Sale Summary
2187,ams_2187,1/24/2026,Virginia Weekly Cattle Auction Summary
2210,ams_2210,1/23/2026,"Blue Grass Stockyards - Richmond, KY"
2769,ams_2769,1/23/2026,Montana Direct Hay Report
2399,or_fv110,1/23/2026,Orlando Shipping Point Fruit Prices (OR_FV110)
2396,mh_fv121,1/23/2026,Miami Shipping Point Vegetables Prices (MH_FV121)
2400,or_fv120,1/23/2026,Orlando Shipping Point Vegetables Prices (OR_FV120)
2899,fr_fv170,1/22/2026,"FRESNO, CA TRUCK AIR, AND BOAT Daily Movement Report"
3105,or_fv170,1/22/2026,"ORLANDO, FL TRUCK AIR, AND BOAT Daily Movement Report"
3045,ams_3045,1/23/2026,Minneapolis Basis Report (MS_GR112)
3283,wa_fv170,1/22/2026,"WASHINGTON, DC TRUCK, AIR AND BOAT Daily Movement Report"
3173,sa_ls855,1/23/2026,Weekly National Sheep Summary (SA_LS855)
3209,sj_ls712,1/23/2026,Estimated Weekly Meat Production Under Federal Inspection (SJ_LS712)
3208,ams_3208,1/23/2026,Daily Livestock and Poultry Slaughter
2856,ams_2856,1/23/2026,Turkey: Daily National Turkey Market-at-a-Glance (NW_PY044)
2388,br_fv130,1/23/2026,Benton Harbor Shipping Point Onions and Potatoes Prices (BR_FV130)
2386,br_fv110,1/23/2026,Benton Harbor Shipping Point Fruit Prices (BR_FV110)
2823,ams_2823,1/23/2026,Import Beef Trade (NW_LS421)
3123,mc_fv170,1/22/2026,"MCALLEN, TX TRUCK AIR, AND BOAT Daily Movement Report"
2316,nx_fv030,1/23/2026,New York Terminal Market Onions and Potatoes Prices (NX_FV030)
2315,nx_fv020,1/23/2026,New York Terminal Market Vegetables Prices (NX_FV020)
2317,nx_fv040,1/23/2026,New York Terminal Market Nuts Prices (NX_FV040)
2314,nx_fv010,1/23/2026,New York Terminal Market Fruit Prices (NX_FV010)
2810,ams_2810,1/23/2026,National Direct Feeder Pig Report
3646,ams_3646,1/23/2026,Weekly National Chicken Report
2768,br_fv170,1/22/2026,"BENTON HARBOR, MI TRUCK AIR, AND BOAT Daily Movement Report"
3725,ams_3725,1/23/2026,Egg Markets Overview
2973,dywacheese_cmebl,1/23/2026,CME Group Block Prices - Weekly Graph (DYWACHEESE_CMEBL)
3890,dywandm_cme,1/23/2026,CME Group Nonfat Dry Milk Prices ? Weekly Graph
3889,dywawhey_cme,1/23/2026,CME Group Dry Whey Prices ? Weekly Graph
2972,dywacheese_cmebar,1/23/2026,CME Group Barrels Prices - Weekly Graphs (DYWACHEESE_CMEBAR)
2974,dywabutter_cme,1/23/2026,CME Group Butter Prices - Weekly Graph (DYWABUTTER_CME)
3914,as_fv020,1/23/2026,"Asheville, NC Terminal Market Vegetables Prices (AS_FV020)"
3915,as_fv030,1/23/2026,"Asheville, NC Terminal Market Onions and Potatoes Prices (AS_FV030)"
3913,as_fv010,1/23/2026,"Asheville, NC Terminal Market Fruit Prices (AS_FV010)"
1054,ams_1054,1/23/2026,Dairy Markets at a Glance
3155,ra_py001,1/23/2026,Shell Eggs: Daily North Carolina Eggs (RA_PY001)
2842,ams_2842,1/24/2026,Weekly National Egg Products
3645,ams_3645,1/23/2026,Weekly Miscellaneous Poultry Report
1602,ams_1602,1/23/2026,CME Group - Weekly Recap
2291,hx_fv020,1/23/2026,Chicago Terminal Market Vegetables Prices (HX_FV020)
1603,ams_1603,1/23/2026,CME Group - Daily Cash Trading - Week to Date
1600,ams_1600,1/23/2026,Nonfat Dry Milk - CME Group - Cash Trading
1610,ams_1610,1/23/2026,Dry Whey - CME Group - Cash Trading
2286,bh_fv020,1/23/2026,Boston Terminal Market Vegetables Prices (BH_FV020)
1601,ams_1601,1/23/2026,Cheese - CME Group - Cash Trading
2287,bh_fv030,1/23/2026,Boston Terminal Market Onions and Potatoes Prices (BH_FV030)
2288,bh_fv040,1/23/2026,Boston Terminal Market Nuts Prices (BH_FV040)
2285,bh_fv010,1/23/2026,Boston Terminal Market Fruit Prices (BH_FV010)
2740,ams_2740,1/23/2026,Broiler/Fryer: Daily National Broiler Market at a Glance (AJ_PY010)
1599,ams_1599,1/23/2026,Butter - CME Group - Cash Trading
2293,hx_fv040,1/23/2026,Chicago Terminal Market Nuts Prices (HX_FV040)
3235,lswgeorgia,1/23/2026,Georgia Livestock  (LSWGEORGIA)
2290,hx_fv010,1/23/2026,Chicago Terminal Market Fruit Prices (HX_FV010)
3052,lswalabama,1/23/2026,Alabama Livestock at a Glance  (LSWALABAMA)
2292,hx_fv030,1/23/2026,Chicago Terminal Market Onions and Potatoes Prices (HX_FV030)
3024,cnwwcmr,1/23/2026,Weekly Cotton Market Review (CNWWCMR)
3030,mp_cn206,1/23/2026,"Weekly Cotton Market Review, narrative (MP_CN206)"
3026,mp_cn208,1/23/2026,"Weekly Cotton Market Review, selected tables (MP_CN208)"
2911,ams_2911,1/23/2026,National Wool Review (Fri)
2907,ams_2907,1/19/2026,National Direct Sheep Report
2997,dybdairyorganic,1/23/2026,Dairy Market News Organic Report - Biweekly (DYBDAIRYORGANIC)
2709,ams_2709,1/23/2026,Southeast Direct Cattle Report (AL/AR/FL/GA/LA/MS/TN)
2710,ams_2710,1/23/2026,Texas Direct Cattle Report
2734,ams_2734,1/23/2026,Daily New York Shell Egg
2319,na_fv020,1/23/2026,Philadelphia Terminal Market Vegetables Prices (NA_FV020)
3496,ams_3496,1/23/2026,Direct Slaughter Cattle - Formulated Base Purchases - Summary
2278,aj_fv020,1/23/2026,Atlanta Terminal Market Vegetables Prices (AJ_FV020)
2279,aj_fv030,1/23/2026,Atlanta Terminal Market Onions and Potatoes Prices (AJ_FV030)
3494,ams_3494,1/23/2026,Direct Slaughter Cattle - Formulated Base Purchases - Morning
2280,aj_fv040,1/23/2026,Atlanta Terminal Market Nuts Prices (AJ_FV040)
2277,aj_fv010,1/23/2026,Atlanta Terminal Market Fruit Prices (AJ_FV010)
2320,na_fv030,1/23/2026,Philadelphia Terminal Market Onions and Potatoes Prices (NA_FV030)
2318,na_fv010,1/23/2026,Philadelphia Terminal Market Fruit Prices (NA_FV010)
2311,mh_fv020,1/23/2026,Miami Terminal Market Vegetables Prices (MH_FV020)
3243,wa_fv280,1/22/2026,WASHINGTON DC ORNAMENTAL Daily Movement Report
2312,mh_fv030,1/23/2026,Miami Terminal Market Onions and Potatoes Prices (MH_FV030)
2313,mh_fv040,1/23/2026,Miami Terminal Market Nuts Prices (MH_FV040)
2310,mh_fv010,1/23/2026,Miami Terminal Market Fruit Prices (MH_FV010)
2682,ams_2682,1/23/2026,Morning National Slaughter Cattle Review PDF) (LSDNSCREVIEWAM)
2664,ams_2664,1/23/2026,TX/OK/NM Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) 
2659,ams_2659,1/23/2026,National Daily Direct Slaughter Cattle Report - Formulated Purchases - Summary
2657,ams_2657,1/23/2026,National Daily Direct Slaughter Cattle Report - Formulated Purchases - AM (PDF) 
2656,ams_2656,1/23/2026,National Daily Slaughter Cattle - Committed and Delivered Cattle - Summary (PDF) 
2654,ams_2654,1/23/2026,National Daily Slaughter Cattle - Committed and Delivered Cattle - AM (PDF) 
3097,ams_3097,1/23/2026,Kansas Direct Cattle Report
1593,ams_1593,1/23/2026,Organic Dairy Retail Overview
2746,pywfowl,1/23/2026,Fowl: Weekly National Fowl Market (Fri) (PYWFOWL)
2672,ams_2672,1/23/2026,IA-MN Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) 
2668,ams_2668,1/23/2026,Nebraska Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) 
2666,ams_2666,1/23/2026,Kansas Daily Direct Slaughter Cattle - Negotiated Purchases - Summary (PDF) 
2662,ams_2662,1/23/2026,National Daily Direct Slaughter Cattle Report - Negotiated Purchases - Summary 
2660,ams_2660,1/23/2026,National Daily Direct Slaughter Cattle Report - Negotiated Purchases - AM (PDF) 
1060,ams_1060,1/23/2026,Butter Highlights
2466,ams_2466,1/23/2026,5 Area Daily Weighted Average Direct Slaughter Cattle - Negotiated (PDF) 
2755,aj_py044,1/23/2026,Shell Eggs: Weekly National Retail Egg Purchases (Fri) (AJ_PY044)
2708,ams_2708,1/23/2026,New Mexico Direct Cattle Report
3888,ams_3888,1/23/2026,Daily National Breaking Stock
3058,ams_3058,1/23/2026,Washington-Oregon (Columbia Basin) Direct Hay Report
2497,ams_2497,1/23/2026,National Daily Pork FOB Omaha - Negotiated Sales - Morning (PDF) (LM_PK601)
2496,ams_2496,1/23/2026,National Daily Pork FOB Plant - Negotiated Sales - Morning (PDF) (LM_PK600)
1594,ams_1594,1/23/2026,Organic Dairy Fluid Overview
2454,ams_2454,1/23/2026,National 5-day Rolling Cutter Cow Cutout and Boxed Cow Beef Cuts - AM (PDF) 
3031,mh_fv170,1/22/2026,"MIAMI, FL TRUCK AIR, AND BOAT Daily Movement Report"
2468,ams_2468,1/23/2026,Direct Slaughter Cow and Bull Report - Plant Delivered Bids (PDF) (LM_CT138)
3098,ams_3098,1/23/2026,Oklahoma Direct Cattle Report
2450,ams_2450,1/23/2026,National/Regional Daily Boneless Processing Beef/Beef Trimmings - AM (PDF) 
3657,ams_3657,1/23/2026,Pacific Northwest Production Cost Report (Bi-Weekly)
1592,ams_1592,1/23/2026,Organic Dairy Market Overview
2452,ams_2452,1/23/2026,National Daily Boxed Beef Cutout & Boxed Beef Cuts - Negotiated Sales - AM (PDF) 
2674,ams_2674,1/23/2026,Daily Direct Morning Hog Report (PDF) (LSDLM_HG216)
3059,ams_3059,1/23/2026,Northwest Direct Cattle Report (WA/OR/ID/UT)
3158,ra_py002,1/23/2026,Broiler/Fryer: Daily North Carolina Broiler/Fryers (RA_PY002)
3184,ams_3184,1/19/2026,South Dakota Direct Cattle Report
2770,ams_2770,1/19/2026,Montana Direct Cattle Report
2906,ams_2906,1/23/2026,Colorado Direct Cattle Report
2808,ams_2808,1/23/2026,Missouri Direct Cattle Report
3455,ams_3455,1/19/2026,Iowa Direct Cattle Report
3096,ams_3096,1/23/2026,Eastern Cornbelt Direct Cattle Report (IL/IN/MI/MN/OH/KY)
3237,ams_3237,1/23/2026,Wyoming-Nebraska Direct Cattle Report
3338,ams_3338,1/22/2026,"Paris Stockyards Livestock Video/Internet Auction ? Paris, KY"
2713,ams_2713,1/22/2026,"Superior Livestock Video/Internet Auction - Fort Worth, TX"
2204,ams_2204,1/22/2026,"Paris Stockyards - Paris, KY"
2321,na_fv040,1/23/2026,Philadelphia Terminal Market Nuts Prices (NA_FV040)
2940,ams_2940,1/23/2026,Southwest Direct Cattle Report (AZ/CA/NV)
3228,ams_3228,1/23/2026,Weekly Retail Beef Feature Activity
2297,ca_fv040,1/23/2026,Columbia Terminal Market Nuts Prices (CA_FV040)
3797,ams_3797,1/23/2026,Weekly Retail Goat Feature Activity
2868,ams_2868,1/23/2026,Weekly Retail Pork Feature Activity
2673,ams_2673,1/23/2026,Daily Direct Hog Prior Day Net Price Distribution (PDF) (LM_HG215)
2511,ams_2511,1/23/2026,National Daily Direct Prior Day Slaughtered Swine (PDF) (LM_HG201)
2296,ca_fv030,1/23/2026,Columbia Terminal Market Onions and Potatoes Prices (CA_FV030)
2295,ca_fv020,1/23/2026,Columbia Terminal Market Vegetables Prices (CA_FV020)
2294,ca_fv010,1/23/2026,Columbia Terminal Market Fruit Prices (CA_FV010)
1635,cnwqco-96,1/22/2026,Visalia Classing Office Weekly Quality Report
3229,ams_3229,1/23/2026,Weekly Retail Lamb Feature Activity
3796,ams_3796,1/23/2026,Weekly Retail Veal Feature Activity
2036,ams_2036,1/22/2026,"Cedar Livestock Auction - Cedar, UT"
1059,ams_1059,1/23/2026,Cheese Highlights
2244,ams_2244,1/22/2026,"Rock Valley Hay Auction (Thur) - Rock Valley, IA"
2867,ams_2867,1/23/2026,Weekly Retail Turkey Feature Activity
3149,lswpnwgrain,1/23/2026,Pacific Northwest Grain Market News  (LSWPNWGRAIN)
2756,ams_2756,1/23/2026,Weekly Retail Chicken Feature Activity
2757,ams_2757,1/23/2026,Weekly Retail Egg Feature Activity
3330,fvwaplproc,1/23/2026,National Apple Processing Report (FVWAPLPROC)
3329,ya_fv195,1/23/2026,Apple Processing Report - Washington (YA_FV195)
2995,dybretail,1/23/2026,National Retail Report - Dairy (DYBRETAIL)
2115,ams_2115,1/24/2026,Mississippi Weekly Livestock Auction Summary
2126,ams_2126,1/21/2026,"Lipscomb Brother's Livestock Market, Inc.- Como, MS"
1833,ams_1833,1/24/2026,Missouri Weekly Sheep/Goat Auction Summary
1831,ams_1831,1/24/2026,Oklahoma Weekly Cattle Auction Summary
2122,ams_2122,1/19/2026,"Macon Stockyard - Macon, MS"
2465,ams_2465,1/23/2026,National Comprehensive Boxed Beef Cutout - all Fed Steer/Heifer Sales (PDF) 
1955,ams_1955,1/24/2026,Texas Weekly Cattle Auction Summary
2024,ams_2024,1/23/2026,"Herreid Livestock Market - Herreid, SD"
1628,cnwqco-28,1/22/2026,Rayville Classing Office Weekly Quality Report
1630,cnwqco-40,1/22/2026,Memphis Classing Office Weekly Quality Report
3472,cotstate,1/22/2026,Weekly Cotton Quality Data File by State
3471,cotoff,1/22/2026,Weekly Cotton Quality Data File by Office
1632,cnwqco-60,1/22/2026,Corpus Christi Classing Office Weekly Quality Report
2843,ams_2843,1/23/2026,Daily National Shell Egg Index Report (5-day rolling average)
3195,ams_3195,1/23/2026,Illinois Production Cost Report (Bi-weekly)
2791,ca_fv001,1/23/2026,"South Carolina Farmers Market - Columbia, SC (CA_FV001)"
3230,lsddfss,1/23/2026,National Daily Feeder and Stocker Summary Report AM  (LSDDFSS)
3616,ams_3616,1/23/2026,National Weekly Ethanol Report
1974,ams_1974,1/21/2026,"Canandaigua Stockyards Livestock Auction - Canandaigua, NY"
1627,cnwqco-07,1/22/2026,Macon Classing Office Weekly Quality Report
1626,cnwqco-03,1/22/2026,Florence Classing Office Weekly Quality Report
3617,ams_3617,1/23/2026,National Daily Ethanol Report
1654,cnwwqs,1/22/2026,Cotton Weekly Quality Report by State
1646,cnwwqo,1/22/2026,Cotton Weekly Quality Report by Office
2006,ams_2006,1/24/2026,Alabama Weekly Cattle Auction Summary
3452,ams_3452,1/23/2026,Daily Direct Prior Day Sow and Boar Report  (PDF) (LM_HG234)
3458,ams_3458,1/23/2026,Daily Direct Prior Day Hog Report (PDF) (LM_HG218)
3215,lswimpe,1/23/2026,Imported Meat Passed for Entry in the U.S. by Country (LSWIMPE)
1633,cnwqco-70,1/22/2026,Lubbock Classing Office Weekly Quality Report
1634,cnwqco-72,1/22/2026,Lamesa Classing Office Weekly Quality Report
1631,cnwqco-50,1/22/2026,Abilene Classing Office Weekly Quality Report
1652,cndcqs_s,1/22/2026,Daily Cotton Quality Summary by State
1625,cndcqs,1/22/2026,Daily Cotton Quality Summary by Office
2848,ams_2848,1/24/2026,Weekly Combined Regional Shell Egg Report
1963,ams_1963,1/24/2026,South Carolina Weekly Livestock Auction Summary
1805,ams_1805,1/22/2026,"TS White Sheep/Goat - Diamond, MO"
2917,ams_2917,1/23/2026,Dry Edible Beans Daily Grower Bids (ND/MN and NE-CO/WY/W-NE)
1856,ams_1856,1/22/2026,"Valentine Livestock Auction - Valentine, NE"
1847,ams_1847,1/24/2026,Missouri (West Central) Weekly Cattle Auction Summary
3917,ams_3917,1/22/2026,"Wheeler Livestock Auction - Cattle Auction - Osceola, MO"
1927,ams_1927,1/24/2026,Georgia Weekly Video Board Sale Summary
1933,ams_1933,1/24/2026,Georgia Weekly Livestock Auction Summary
1704,ams_1704,1/24/2026,Florida Weekly Livestock Auction Summary
3051,ams_3051,1/23/2026,Alabama Production Cost Report (Weekly)
3420,ams_3420,1/23/2026,Daily Market Rates (Grain/Miscellaneous Commodities)
2928,ams_2928,1/22/2026,Mississippi Daily Grain Bids
2206,ams_2206,1/22/2026,"KY-TN Livestock Market - Guthrie, KY"
1842,ams_1842,1/24/2026,Missouri (Southeast) Weekly Cattle Auction Summary
1841,ams_1841,1/24/2026,Missouri (South Central) Weekly Cattle Summary
