Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Wheat","All wheat","Total supply","United States","Million bushels","1963/64","MY Jun-May",2420.5
"Wheat","All wheat","Food use","United States","Million bushels","1963/64","MY Jun-May",487.9
"Wheat","All wheat","Seed use","United States","Million bushels","1963/64","MY Jun-May",64.9
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1963/64","MY Jun-May",28.6
"Wheat","All wheat","Total domestic use","United States","Million bushels","1963/64","MY Jun-May",581.4
"Wheat","All wheat","Exports","United States","Million bushels","1963/64","MY Jun-May",845.6
"Wheat","All wheat","Total disappearance","United States","Million bushels","1963/64","MY Jun-May",1427
"Wheat","All wheat","Ending stocks","United States","Million bushels","1963/64","MY Jun-May",993.5
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1964/65","MY Jun-May",993.5
"Wheat","All wheat","Production","United States","Million bushels","1964/65","MY Jun-May",1283.4
"Wheat","All wheat","Imports","United States","Million bushels","1964/65","MY Jun-May",1.8
"Wheat","All wheat","Total supply","United States","Million bushels","1964/65","MY Jun-May",2278.7
"Wheat","All wheat","Food use","United States","Million bushels","1964/65","MY Jun-May",514.4
"Wheat","All wheat","Seed use","United States","Million bushels","1964/65","MY Jun-May",65.5
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1964/65","MY Jun-May",55
"Wheat","All wheat","Total domestic use","United States","Million bushels","1964/65","MY Jun-May",634.9
"Wheat","All wheat","Exports","United States","Million bushels","1964/65","MY Jun-May",722.7
"Wheat","All wheat","Total disappearance","United States","Million bushels","1964/65","MY Jun-May",1357.6
"Wheat","All wheat","Ending stocks","United States","Million bushels","1964/65","MY Jun-May",921.1
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1965/66","MY Jun-May",921.1
"Wheat","All wheat","Production","United States","Million bushels","1965/66","MY Jun-May",1315.6
"Wheat","All wheat","Imports","United States","Million bushels","1965/66","MY Jun-May",0.9
"Wheat","All wheat","Total supply","United States","Million bushels","1965/66","MY Jun-May",2237.6
"Wheat","All wheat","Food use","United States","Million bushels","1965/66","MY Jun-May",517.9
"Wheat","All wheat","Seed use","United States","Million bushels","1965/66","MY Jun-May",61.5
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1965/66","MY Jun-May",145.9
"Wheat","All wheat","Total domestic use","United States","Million bushels","1965/66","MY Jun-May",725.3
"Wheat","All wheat","Exports","United States","Million bushels","1965/66","MY Jun-May",851.8
"Wheat","All wheat","Total disappearance","United States","Million bushels","1965/66","MY Jun-May",1577.1
"Wheat","All wheat","Ending stocks","United States","Million bushels","1965/66","MY Jun-May",660.5
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1966/67","MY Jun-May",660.5
"Wheat","All wheat","Production","United States","Million bushels","1966/67","MY Jun-May",1304.9
"Wheat","All wheat","Imports","United States","Million bushels","1966/67","MY Jun-May",1.7
"Wheat","All wheat","Total supply","United States","Million bushels","1966/67","MY Jun-May",1967.1
"Wheat","All wheat","Food use","United States","Million bushels","1966/67","MY Jun-May",505.1
"Wheat","All wheat","Seed use","United States","Million bushels","1966/67","MY Jun-May",77.4
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1966/67","MY Jun-May",100.5
"Wheat","All wheat","Total domestic use","United States","Million bushels","1966/67","MY Jun-May",683
"Wheat","All wheat","Exports","United States","Million bushels","1966/67","MY Jun-May",771.3
"Wheat","All wheat","Total disappearance","United States","Million bushels","1966/67","MY Jun-May",1454.3
"Wheat","All wheat","Ending stocks","United States","Million bushels","1966/67","MY Jun-May",512.8
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1967/68","MY Jun-May",512.8
"Wheat","All wheat","Production","United States","Million bushels","1967/68","MY Jun-May",1507.6
"Wheat","All wheat","Imports","United States","Million bushels","1967/68","MY Jun-May",1
"Wheat","All wheat","Total supply","United States","Million bushels","1967/68","MY Jun-May",2021.4
"Wheat","All wheat","Food use","United States","Million bushels","1967/68","MY Jun-May",517.8
"Wheat","All wheat","Seed use","United States","Million bushels","1967/68","MY Jun-May",71.3
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1967/68","MY Jun-May",36.8
"Wheat","All wheat","Total domestic use","United States","Million bushels","1967/68","MY Jun-May",625.9
"Wheat","All wheat","Exports","United States","Million bushels","1967/68","MY Jun-May",765.3
"Wheat","All wheat","Total disappearance","United States","Million bushels","1967/68","MY Jun-May",1391.2
"Wheat","All wheat","Ending stocks","United States","Million bushels","1967/68","MY Jun-May",630.2
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1968/69","MY Jun-May",630.2
"Wheat","All wheat","Production","United States","Million bushels","1968/69","MY Jun-May",1556.6
"Wheat","All wheat","Imports","United States","Million bushels","1968/69","MY Jun-May",1.1
"Wheat","All wheat","Total supply","United States","Million bushels","1968/69","MY Jun-May",2187.9
"Wheat","All wheat","Food use","United States","Million bushels","1968/69","MY Jun-May",522.4
"Wheat","All wheat","Seed use","United States","Million bushels","1968/69","MY Jun-May",60.8
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1968/69","MY Jun-May",156.5
"Wheat","All wheat","Total domestic use","United States","Million bushels","1968/69","MY Jun-May",739.7
"Wheat","All wheat","Exports","United States","Million bushels","1968/69","MY Jun-May",544.2
"Wheat","All wheat","Total disappearance","United States","Million bushels","1968/69","MY Jun-May",1283.9
"Wheat","All wheat","Ending stocks","United States","Million bushels","1968/69","MY Jun-May",904
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1969/70","MY Jun-May",904
"Wheat","All wheat","Production","United States","Million bushels","1969/70","MY Jun-May",1442.7
"Wheat","All wheat","Imports","United States","Million bushels","1969/70","MY Jun-May",2.9
"Wheat","All wheat","Total supply","United States","Million bushels","1969/70","MY Jun-May",2349.6
"Wheat","All wheat","Food use","United States","Million bushels","1969/70","MY Jun-May",520.1
"Wheat","All wheat","Seed use","United States","Million bushels","1969/70","MY Jun-May",55.5
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1969/70","MY Jun-May",188.4
"Wheat","All wheat","Total domestic use","United States","Million bushels","1969/70","MY Jun-May",764
"Wheat","All wheat","Exports","United States","Million bushels","1969/70","MY Jun-May",603
"Wheat","All wheat","Total disappearance","United States","Million bushels","1969/70","MY Jun-May",1367
"Wheat","All wheat","Ending stocks","United States","Million bushels","1969/70","MY Jun-May",982.6
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1970/71","MY Jun-May",982.6
"Wheat","All wheat","Production","United States","Million bushels","1970/71","MY Jun-May",1351.6
"Wheat","All wheat","Imports","United States","Million bushels","1970/71","MY Jun-May",1.4
"Wheat","All wheat","Total supply","United States","Million bushels","1970/71","MY Jun-May",2335.6
"Wheat","All wheat","Food use","United States","Million bushels","1970/71","MY Jun-May",517.1
"Wheat","All wheat","Seed use","United States","Million bushels","1970/71","MY Jun-May",62.1
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1970/71","MY Jun-May",192.8
"Wheat","All wheat","Total domestic use","United States","Million bushels","1970/71","MY Jun-May",772
"Wheat","All wheat","Exports","United States","Million bushels","1970/71","MY Jun-May",740.8
"Wheat","All wheat","Total disappearance","United States","Million bushels","1970/71","MY Jun-May",1512.8
"Wheat","All wheat","Ending stocks","United States","Million bushels","1970/71","MY Jun-May",822.8
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1971/72","MY Jun-May",822.8
"Wheat","All wheat","Production","United States","Million bushels","1971/72","MY Jun-May",1618.6
"Wheat","All wheat","Imports","United States","Million bushels","1971/72","MY Jun-May",1.1
"Wheat","All wheat","Total supply","United States","Million bushels","1971/72","MY Jun-May",2442.5
"Wheat","All wheat","Food use","United States","Million bushels","1971/72","MY Jun-May",523.7
"Wheat","All wheat","Seed use","United States","Million bushels","1971/72","MY Jun-May",63.2
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1971/72","MY Jun-May",262.4
"Wheat","All wheat","Total domestic use","United States","Million bushels","1971/72","MY Jun-May",849.3
"Wheat","All wheat","Exports","United States","Million bushels","1971/72","MY Jun-May",609.8
"Wheat","All wheat","Total disappearance","United States","Million bushels","1971/72","MY Jun-May",1459.1
"Wheat","All wheat","Ending stocks","United States","Million bushels","1971/72","MY Jun-May",983.4
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1972/73","MY Jun-May",983.4
"Wheat","All wheat","Production","United States","Million bushels","1972/73","MY Jun-May",1546.2
"Wheat","All wheat","Imports","United States","Million bushels","1972/73","MY Jun-May",1.3
"Wheat","All wheat","Total supply","United States","Million bushels","1972/73","MY Jun-May",2530.9
"Wheat","All wheat","Food use","United States","Million bushels","1972/73","MY Jun-May",531.8
"Wheat","All wheat","Seed use","United States","Million bushels","1972/73","MY Jun-May",67.4
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1972/73","MY Jun-May",199.5
"Wheat","All wheat","Total domestic use","United States","Million bushels","1972/73","MY Jun-May",798.7
"Wheat","All wheat","Exports","United States","Million bushels","1972/73","MY Jun-May",1135.1
"Wheat","All wheat","Total disappearance","United States","Million bushels","1972/73","MY Jun-May",1933.8
"Wheat","All wheat","Ending stocks","United States","Million bushels","1972/73","MY Jun-May",597.1
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1973/74","MY Jun-May",597.1
"Wheat","All wheat","Production","United States","Million bushels","1973/74","MY Jun-May",1710.8
"Wheat","All wheat","Imports","United States","Million bushels","1973/74","MY Jun-May",2.6
"Wheat","All wheat","Total supply","United States","Million bushels","1973/74","MY Jun-May",2310.5
"Wheat","All wheat","Food use","United States","Million bushels","1973/74","MY Jun-May",544.3
"Wheat","All wheat","Seed use","United States","Million bushels","1973/74","MY Jun-May",84
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1973/74","MY Jun-May",125.1
"Wheat","All wheat","Total domestic use","United States","Million bushels","1973/74","MY Jun-May",753.4
"Wheat","All wheat","Exports","United States","Million bushels","1973/74","MY Jun-May",1217
"Wheat","All wheat","Total disappearance","United States","Million bushels","1973/74","MY Jun-May",1970.4
"Wheat","All wheat","Ending stocks","United States","Million bushels","1973/74","MY Jun-May",340.1
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1974/75","MY Jun-May",340.1
"Wheat","All wheat","Production","United States","Million bushels","1974/75","MY Jun-May",1781.9
"Wheat","All wheat","Imports","United States","Million bushels","1974/75","MY Jun-May",3.4
"Wheat","All wheat","Total supply","United States","Million bushels","1974/75","MY Jun-May",2125.4
"Wheat","All wheat","Food use","United States","Million bushels","1974/75","MY Jun-May",545
"Wheat","All wheat","Seed use","United States","Million bushels","1974/75","MY Jun-May",92
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1974/75","MY Jun-May",34.9
"Wheat","All wheat","Total domestic use","United States","Million bushels","1974/75","MY Jun-May",671.9
"Wheat","All wheat","Exports","United States","Million bushels","1974/75","MY Jun-May",1018.5
"Wheat","All wheat","Total disappearance","United States","Million bushels","1974/75","MY Jun-May",1690.4
"Wheat","All wheat","Ending stocks","United States","Million bushels","1974/75","MY Jun-May",435
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1975/76","MY Jun-May",435
"Wheat","All wheat","Production","United States","Million bushels","1975/76","MY Jun-May",2126.927
"Wheat","All wheat","Imports","United States","Million bushels","1975/76","MY Jun-May",2.4
"Wheat","All wheat","Total supply","United States","Million bushels","1975/76","MY Jun-May",2564.327
"Wheat","All wheat","Food use","United States","Million bushels","1975/76","MY Jun-May",588.5
"Wheat","All wheat","Seed use","United States","Million bushels","1975/76","MY Jun-May",100
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1975/76","MY Jun-May",37.317
"Wheat","All wheat","Total domestic use","United States","Million bushels","1975/76","MY Jun-May",725.817
"Wheat","All wheat","Exports","United States","Million bushels","1975/76","MY Jun-May",1172.881
"Wheat","All wheat","Total disappearance","United States","Million bushels","1975/76","MY Jun-May",1898.698
"Wheat","All wheat","Ending stocks","United States","Million bushels","1975/76","MY Jun-May",665.629
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1975/76","Q1 Jun-Aug",435
"Wheat","All wheat","Production","United States","Million bushels","1975/76","Q1 Jun-Aug",2126.927
"Wheat","All wheat","Imports","United States","Million bushels","1975/76","Q1 Jun-Aug",0.7
"Wheat","All wheat","Total supply","United States","Million bushels","1975/76","Q1 Jun-Aug",2562.627
"Wheat","All wheat","Food use","United States","Million bushels","1975/76","Q1 Jun-Aug",140
"Wheat","All wheat","Seed use","United States","Million bushels","1975/76","Q1 Jun-Aug",1
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1975/76","Q1 Jun-Aug",20.852
"Wheat","All wheat","Total domestic use","United States","Million bushels","1975/76","Q1 Jun-Aug",161.852
"Wheat","All wheat","Exports","United States","Million bushels","1975/76","Q1 Jun-Aug",300.075
"Wheat","All wheat","Total disappearance","United States","Million bushels","1975/76","Q1 Jun-Aug",461.927
"Wheat","All wheat","Ending stocks","United States","Million bushels","1975/76","Q1 Jun-Aug",2100.7
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1975/76","Q2 Sep-Nov",2100.7
"Wheat","All wheat","Production","United States","Million bushels","1975/76","Q2 Sep-Nov",0
"Wheat","All wheat","Imports","United States","Million bushels","1975/76","Q2 Sep-Nov",0.8
"Wheat","All wheat","Total supply","United States","Million bushels","1975/76","Q2 Sep-Nov",2101.5
"Wheat","All wheat","Food use","United States","Million bushels","1975/76","Q2 Sep-Nov",156.4
"Wheat","All wheat","Seed use","United States","Million bushels","1975/76","Q2 Sep-Nov",68
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1975/76","Q2 Sep-Nov",-47.847
"Wheat","All wheat","Total domestic use","United States","Million bushels","1975/76","Q2 Sep-Nov",176.553
"Wheat","All wheat","Exports","United States","Million bushels","1975/76","Q2 Sep-Nov",376.647
"Wheat","All wheat","Total disappearance","United States","Million bushels","1975/76","Q2 Sep-Nov",553.2
"Wheat","All wheat","Ending stocks","United States","Million bushels","1975/76","Q2 Sep-Nov",1548.3
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1975/76","Q3 Dec-Feb",1548.3
"Wheat","All wheat","Production","United States","Million bushels","1975/76","Q3 Dec-Feb",0
"Wheat","All wheat","Imports","United States","Million bushels","1975/76","Q3 Dec-Feb",0.3
"Wheat","All wheat","Total supply","United States","Million bushels","1975/76","Q3 Dec-Feb",1548.6
"Wheat","All wheat","Food use","United States","Million bushels","1975/76","Q3 Dec-Feb",144.8
"Wheat","All wheat","Seed use","United States","Million bushels","1975/76","Q3 Dec-Feb",2
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1975/76","Q3 Dec-Feb",52.81
"Wheat","All wheat","Total domestic use","United States","Million bushels","1975/76","Q3 Dec-Feb",199.61
"Wheat","All wheat","Exports","United States","Million bushels","1975/76","Q3 Dec-Feb",263.49
"Wheat","All wheat","Total disappearance","United States","Million bushels","1975/76","Q3 Dec-Feb",463.1
"Wheat","All wheat","Ending stocks","United States","Million bushels","1975/76","Q3 Dec-Feb",1085.5
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1975/76","Q4 Mar-May",1085.5
"Wheat","All wheat","Production","United States","Million bushels","1975/76","Q4 Mar-May",0
"Wheat","All wheat","Imports","United States","Million bushels","1975/76","Q4 Mar-May",0.6
"Wheat","All wheat","Total supply","United States","Million bushels","1975/76","Q4 Mar-May",1086.1
"Wheat","All wheat","Food use","United States","Million bushels","1975/76","Q4 Mar-May",147.3
"Wheat","All wheat","Seed use","United States","Million bushels","1975/76","Q4 Mar-May",29
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1975/76","Q4 Mar-May",11.502
"Wheat","All wheat","Total domestic use","United States","Million bushels","1975/76","Q4 Mar-May",187.802
"Wheat","All wheat","Exports","United States","Million bushels","1975/76","Q4 Mar-May",232.669
"Wheat","All wheat","Total disappearance","United States","Million bushels","1975/76","Q4 Mar-May",420.471
"Wheat","All wheat","Ending stocks","United States","Million bushels","1975/76","Q4 Mar-May",665.629
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1976/77","MY Jun-May",665.629
"Wheat","All wheat","Production","United States","Million bushels","1976/77","MY Jun-May",2148.78
"Wheat","All wheat","Imports","United States","Million bushels","1976/77","MY Jun-May",2.7
"Wheat","All wheat","Total supply","United States","Million bushels","1976/77","MY Jun-May",2817.109
"Wheat","All wheat","Food use","United States","Million bushels","1976/77","MY Jun-May",588
