Commodity_Desc,Commodity_Desc2,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Nov",6824.46070089387
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Nov",671.33466594788
"All wheat","Food use","1,000 bushels","1989/90","Nov",63167.873965054
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Nov",1400
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Nov",67921
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Nov",460.925125543615
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Nov",20.1479979087954
"Durum","Durum food use","1,000 bushels","1989/90","Nov",440.77712763482
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Oct",3394.2587681097
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Oct",675.384440821429
"All wheat","Food use","1,000 bushels","1989/90","Oct",69162.1256727117
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Oct",70481
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Oct",1400
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Oct",478.187068445027
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Oct",49.7240352628209
"Durum","Durum food use","1,000 bushels","1989/90","Oct",428.463033182206
"All wheat","Food use","1,000 bushels","1989/90","Q1 Jun-Aug",190701.90497981
"Durum","Durum food use","1,000 bushels","1989/90","Q1 Jun-Aug",1375.01549301954
"All wheat","Food use","1,000 bushels","1989/90","Q2 Sep-Nov",191657.923398349
"Durum","Durum food use","1,000 bushels","1989/90","Q2 Sep-Nov",1223.55211503034
"All wheat","Food use","1,000 bushels","1989/90","Q3 Dec-Feb",184318.65952026
"Durum","Durum food use","1,000 bushels","1989/90","Q3 Dec-Feb",9614.23324203461
"All wheat","Food use","1,000 bushels","1989/90","Q4 Mar-May",182238.976072007
"Durum","Durum food use","1,000 bushels","1989/90","Q4 Mar-May",15747.0037753546
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Sep",8977.83641308469
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Sep",579.760173668196
"All wheat","Food use","1,000 bushels","1989/90","Sep",59327.9237605835
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Sep",1400
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Sep",66326
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Sep",392.881874586054
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Sep",38.5699203727427
"Durum","Durum food use","1,000 bushels","1989/90","Sep",354.311954213311
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Apr",3764.04357993088
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Apr",889.150701313081
"All wheat","Food use","1,000 bushels","1990/91","Apr",66316.1071213822
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Apr",67641
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Apr",1550
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Apr",476.49585454236
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Apr",4637
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Apr",53.3988722296857
"Durum","Durum food use","1,000 bushels","1990/91","Apr",5060.09698231267
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Aug",2847.3291007885
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Aug",798.594508508722
"All wheat","Food use","1,000 bushels","1990/91","Aug",71985.2654077202
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Aug",72534
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Aug",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Aug",570.952674450027
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Aug",5435
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Aug",63.1619084690775
"Durum","Durum food use","1,000 bushels","1990/91","Aug",5942.79076598095
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Dec",4536.73290332898
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Dec",666.816057142336
"All wheat","Food use","1,000 bushels","1990/91","Dec",61361.0831538134
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Dec",63731
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Dec",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Dec",479.456664587552
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Dec",4447
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Dec",44.5592158901661
"Durum","Durum food use","1,000 bushels","1990/91","Dec",4881.89744869739
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Feb",3856.61724498581
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Feb",629.764728790973
"All wheat","Food use","1,000 bushels","1990/91","Feb",63509.1474838052
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Feb",65186
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Feb",1550
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Feb",462.553161141681
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Feb",5574
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Feb",91.5004925659493
"Durum","Durum food use","1,000 bushels","1990/91","Feb",5945.05266857573
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Jan",2697.50937136356
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jan",602.093707734436
"All wheat","Food use","1,000 bushels","1990/91","Jan",66128.5843363709
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Jan",66674
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Jan",1550
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jan",427.1751836499
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Jan",4931
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Jan",96.4393737566498
"Durum","Durum food use","1,000 bushels","1990/91","Jan",5261.73580989325
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Jul",2253.49563637083
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jul",746.550951306191
"All wheat","Food use","1,000 bushels","1990/91","Jul",61244.0553149354
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Jul",61251
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Jul",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jul",532.215881883975
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Jul",4288
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Jul",32.1316532197868
"Durum","Durum food use","1,000 bushels","1990/91","Jul",4788.08422866419
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Jun",1143.71958098516
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jun",735.98876072898
"All wheat","Food use","1,000 bushels","1990/91","Jun",60700.2691797438
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Jun",59608
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Jun",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Jun",520.685726510188
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Jun",4635
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Jun",38.7440166471699
"Durum","Durum food use","1,000 bushels","1990/91","Jun",5116.94170986302
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Mar",6317.56165433472
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Mar",746.961682823676
"All wheat","Food use","1,000 bushels","1990/91","Mar",59227.4000284889
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Mar",63248
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Mar",1550
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Mar",479.995771475583
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Mar",4325
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Mar",68.1007635607279
"Durum","Durum food use","1,000 bushels","1990/91","Mar",4736.89500791485
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","May",3583.41778441643
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","May",762.907168059434
"All wheat","Food use","1,000 bushels","1990/91","May",68579.489383643
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","May",69850
"All wheat","Nonmilled food use","1,000 bushels","1990/91","May",1550
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","May",551.432607207982
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","May",4547
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","May",62.918748469371
"Durum","Durum food use","1,000 bushels","1990/91","May",5035.51385873861
"All wheat","Food use","1,000 bushels","1990/91","MY Jun-May",788068.074591431
"Durum","Durum food use","1,000 bushels","1990/91","MY Jun-May",64739.7739549405
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Nov",3538.92390808207
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Nov",760.881166036691
"All wheat","Food use","1,000 bushels","1990/91","Nov",71803.9572579546
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Nov",73082
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Nov",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Nov",570.762414474259
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Nov",5573
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Nov",89.1091350150217
"Durum","Durum food use","1,000 bushels","1990/91","Nov",6054.65327945924
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Oct",3443.54760262686
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Oct",782.000663696177
"All wheat","Food use","1,000 bushels","1990/91","Oct",73033.4530610693
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Oct",74195
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Oct",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Oct",574.120325104559
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Oct",5771
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Oct",65.223904533625
"Durum","Durum food use","1,000 bushels","1990/91","Oct",6279.89642057093
"All wheat","Food use","1,000 bushels","1990/91","Q1 Jun-Aug",193929.589902399
"Durum","Durum food use","1,000 bushels","1990/91","Q1 Jun-Aug",15847.8167045082
"All wheat","Food use","1,000 bushels","1990/91","Q2 Sep-Nov",209016.673181528
"Durum","Durum food use","1,000 bushels","1990/91","Q2 Sep-Nov",17970.7654742998
"All wheat","Food use","1,000 bushels","1990/91","Q3 Dec-Feb",190998.814973989
"Durum","Durum food use","1,000 bushels","1990/91","Q3 Dec-Feb",16088.6859271664
"All wheat","Food use","1,000 bushels","1990/91","Q4 Mar-May",194122.996533514
"Durum","Durum food use","1,000 bushels","1990/91","Q4 Mar-May",14832.5058489661
"All wheat","Food exports","1,000 grain-equivalent bushels","1990/91","Sep",2911.52271194326
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1990/91","Sep",532.785574447613
"All wheat","Food use","1,000 bushels","1990/91","Sep",64179.2628625044
"All wheat","Wheat ground for flour","1,000 bushels","1990/91","Sep",65058
"All wheat","Nonmilled food use","1,000 bushels","1990/91","Sep",1500
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1990/91","Sep",378.406455984313
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1990/91","Sep",5298
"Durum","Durum food exports","1,000 grain-equivalent bushels","1990/91","Sep",40.1906817146975
"Durum","Durum food use","1,000 bushels","1990/91","Sep",5636.21577426962
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Apr",3804.1793771429
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Apr",899.105978468557
"All wheat","Food use","1,000 bushels","1991/92","Apr",66036.9266013257
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Apr",67292
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Apr",1650
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Apr",604.562207815627
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Apr",5368
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Apr",99.2937035171098
"Durum","Durum food use","1,000 bushels","1991/92","Apr",5873.26850429852
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Aug",4292.52643201532
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Aug",858.293625377873
"All wheat","Food use","1,000 bushels","1991/92","Aug",69334.7671933626
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Aug",71169
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Aug",1600
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Aug",610.454611216891
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Aug",5189
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Aug",97.7244994373218
"Durum","Durum food use","1,000 bushels","1991/92","Aug",5701.73011177957
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Dec",3394.312900704
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Dec",810.162549067438
"All wheat","Food use","1,000 bushels","1991/92","Dec",64671.8496483634
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Dec",65656
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Dec",1600
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Dec",583.014987358961
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Dec",4877
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Dec",124.992904835175
"Durum","Durum food use","1,000 bushels","1991/92","Dec",5335.02208252379
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Feb",5594.34275911925
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Feb",636.35028454321
"All wheat","Food use","1,000 bushels","1991/92","Feb",62670.007525424
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Feb",65978
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Feb",1650
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Feb",440.574710675215
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Feb",5839
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Feb",154.2180903349
"Durum","Durum food use","1,000 bushels","1991/92","Feb",6125.35662034032
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Jan",2655.01832083015
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jan",620.506475831812
"All wheat","Food use","1,000 bushels","1991/92","Jan",65388.4881550017
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Jan",65773
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Jan",1650
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jan",416.976778837992
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Jan",5729
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Jan",110.621356630058
"Durum","Durum food use","1,000 bushels","1991/92","Jan",6035.35542220793
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Jul",5603.22911750322
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jul",816.398210631125
"All wheat","Food use","1,000 bushels","1991/92","Jul",62073.1690931279
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Jul",65260
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Jul",1600
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jul",594.390148446059
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Jul",4390
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Jul",95.5972701216347
"Durum","Durum food use","1,000 bushels","1991/92","Jul",4888.79287832442
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Jun",9615.82646916596
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jun",837.918704378858
"All wheat","Food use","1,000 bushels","1991/92","Jun",53737.0922352129
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Jun",60915
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Jun",1600
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Jun",616.66130170325
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Jun",4173
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Jun",70.7254217794279
"Durum","Durum food use","1,000 bushels","1991/92","Jun",4718.93587992382
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Mar",4703.87857173875
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Mar",862.808049889491
"All wheat","Food use","1,000 bushels","1991/92","Mar",63414.9294781507
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Mar",65606
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Mar",1650
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Mar",608.151057889315
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Mar",5860
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Mar",159.333994993502
"Durum","Durum food use","1,000 bushels","1991/92","Mar",6308.81706289581
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","May",4688.0516177094
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","May",788.767963458822
"All wheat","Food use","1,000 bushels","1991/92","May",64782.7163457494
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","May",67032
"All wheat","Nonmilled food use","1,000 bushels","1991/92","May",1650
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","May",545.225465902144
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","May",6321
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","May",150.965695625206
"Durum","Durum food use","1,000 bushels","1991/92","May",6715.25977027694
"All wheat","Food use","1,000 bushels","1991/92","MY Jun-May",784868.463216819
"Durum","Durum food use","1,000 bushels","1991/92","MY Jun-May",69310.4200726959
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Nov",2316.55934880374
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1991/92","Nov",718.11542956404
"All wheat","Food use","1,000 bushels","1991/92","Nov",73446.5560807603
"All wheat","Wheat ground for flour","1,000 bushels","1991/92","Nov",73445
"All wheat","Nonmilled food use","1,000 bushels","1991/92","Nov",1600
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1991/92","Nov",514.706859130402
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1991/92","Nov",5822
"Durum","Durum food exports","1,000 grain-equivalent bushels","1991/92","Nov",95.8234268514422
"Durum","Durum food use","1,000 bushels","1991/92","Nov",6240.88343227896
"All wheat","Food exports","1,000 grain-equivalent bushels","1991/92","Oct",1266.83561078854
