Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q4 Mar-May",8.3752
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q4 Mar-May",10.78496
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q4 Mar-May",2.40976
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q4 Mar-May",1.18496
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","MY Jun-May",0.8418
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","MY Jun-May",8.90013333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","MY Jun-May",2.35653333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","MY Jun-May",8.05833333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","MY Jun-May",6.5436
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q1 Jun-Aug",8.6912
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q1 Jun-Aug",7.9
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q1 Jun-Aug",6.194
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q1 Jun-Aug",0.7912
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q1 Jun-Aug",2.4972
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q2 Sep-Nov",8.18333333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q2 Sep-Nov",2.75942666666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q2 Sep-Nov",9.02942666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q2 Sep-Nov",6.27
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q2 Sep-Nov",0.846093333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q3 Dec-Feb",7.96666666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q3 Dec-Feb",0.994826666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q3 Dec-Feb",2.25829333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q3 Dec-Feb",8.96149333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q3 Dec-Feb",6.7032
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q4 Mar-May",7.0072
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q4 Mar-May",8.18333333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q4 Mar-May",0.73508
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q4 Mar-May",1.91121333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1986/87","Q4 Mar-May",8.91841333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","MY Jun-May",1.14049333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","MY Jun-May",7.1497
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","MY Jun-May",7.9625
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","MY Jun-May",1.95329333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","MY Jun-May",9.10299333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q1 Jun-Aug",6.6196
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q1 Jun-Aug",7.85
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q1 Jun-Aug",8.56974666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q1 Jun-Aug",0.719746666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q1 Jun-Aug",1.95014666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q2 Sep-Nov",7.0376
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q2 Sep-Nov",7.85
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q2 Sep-Nov",9.03588
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q2 Sep-Nov",1.99828
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q2 Sep-Nov",1.18588
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q3 Dec-Feb",7.96666666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q3 Dec-Feb",1.53425333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q3 Dec-Feb",7.5088
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q3 Dec-Feb",9.50092
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q3 Dec-Feb",1.99212
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q4 Mar-May",7.4328
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q4 Mar-May",8.18333333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q4 Mar-May",9.30542666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q4 Mar-May",1.87262666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1987/88","Q4 Mar-May",1.12209333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","MY Jun-May",1.68076333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","MY Jun-May",11.8932633333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","MY Jun-May",2.23936333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","MY Jun-May",10.2125
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","MY Jun-May",9.6539
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q1 Jun-Aug",11.1318933333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q1 Jun-Aug",9.56666666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q1 Jun-Aug",8.8312
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q1 Jun-Aug",2.30069333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q1 Jun-Aug",1.56522666666667
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q2 Sep-Nov",9.88333333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q2 Sep-Nov",2.16701333333334
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q2 Sep-Nov",11.6442133333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q2 Sep-Nov",9.4772
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q2 Sep-Nov",1.76088
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q3 Dec-Feb",10.3666666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q3 Dec-Feb",1.80994666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q3 Dec-Feb",2.24341333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q3 Dec-Feb",12.1766133333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q3 Dec-Feb",9.9332
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q4 Mar-May",11.0333333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q4 Mar-May",10.374
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q4 Mar-May",1.587
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q4 Mar-May",2.24633333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1988/89","Q4 Mar-May",12.6203333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","MY Jun-May",1.44539666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","MY Jun-May",9.5893
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","MY Jun-May",10.4125
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","MY Jun-May",11.8578966666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","MY Jun-May",2.26859666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q1 Jun-Aug",9.8876
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q1 Jun-Aug",11.0666666666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q1 Jun-Aug",12.20624
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q1 Jun-Aug",1.13957333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q1 Jun-Aug",2.31864
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q2 Sep-Nov",10.3333333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q2 Sep-Nov",9.6672
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q2 Sep-Nov",11.9718533333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q2 Sep-Nov",2.30465333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q2 Sep-Nov",1.63852
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q3 Dec-Feb",10.35
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q3 Dec-Feb",1.57749333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q3 Dec-Feb",9.6824
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q3 Dec-Feb",11.9274933333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q3 Dec-Feb",2.24509333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q4 Mar-May",9.9
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q4 Mar-May",9.12
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q4 Mar-May",11.326
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q4 Mar-May",2.206
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1989/90","Q4 Mar-May",1.426
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","MY Jun-May",1.288023
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","MY Jun-May",9.07135633333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","MY Jun-May",2.21045633333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","MY Jun-May",7.78333333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","MY Jun-May",6.8609
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q1 Jun-Aug",8.61666666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q1 Jun-Aug",7.4632
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q1 Jun-Aug",1.29290666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q1 Jun-Aug",2.44637333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q1 Jun-Aug",9.90957333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q2 Sep-Nov",7.25
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q2 Sep-Nov",2.14146666666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q2 Sep-Nov",8.66986666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q2 Sep-Nov",6.5284
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q2 Sep-Nov",1.41986666666667
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q3 Dec-Feb",7.31666666666667
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q3 Dec-Feb",1.34390533333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q3 Dec-Feb",2.139772
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q3 Dec-Feb",8.660572
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q3 Dec-Feb",6.5208
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q4 Mar-May",7.95
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q4 Mar-May",6.9312
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q4 Mar-May",1.09541333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q4 Mar-May",2.11421333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1990/91","Q4 Mar-May",9.04541333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","MY Jun-May",1.26431
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","MY Jun-May",8.5842
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","MY Jun-May",9.525
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","MY Jun-May",2.20511
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","MY Jun-May",10.78931
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q1 Jun-Aug",6.8628
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q1 Jun-Aug",8.01666666666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q1 Jun-Aug",9.07129333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q1 Jun-Aug",1.05462666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q1 Jun-Aug",2.20849333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q2 Sep-Nov",9.06666666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q2 Sep-Nov",8.208
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q2 Sep-Nov",10.4092533333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q2 Sep-Nov",2.20125333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q2 Sep-Nov",1.34258666666667
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q3 Dec-Feb",10.65
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q3 Dec-Feb",1.45421333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q3 Dec-Feb",9.8496
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q3 Dec-Feb",12.1042133333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q3 Dec-Feb",2.25461333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q4 Mar-May",10.3666666666667
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q4 Mar-May",9.4164
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q4 Mar-May",11.57248
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q4 Mar-May",2.15608
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1991/92","Q4 Mar-May",1.20581333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","MY Jun-May",1.28014166666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","MY Jun-May",10.9301416666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","MY Jun-May",2.40484166666667
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","MY Jun-May",9.65
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","MY Jun-May",8.5253
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","Q1 Jun-Aug",10.58028
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","Q1 Jun-Aug",8.4512
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","Q1 Jun-Aug",9.48333333333333
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","Q1 Jun-Aug",1.09694666666667
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1992/93","Q1 Jun-Aug",2.12908
